run_id,timestamp,binary_mtime,collector,budget,workload,seed,exit_code,status,run_ns,mutator_ns,proc_wall_ns,instructions,bytes_allocated,alloc_count,collections,total_pause_ns,pause_mean_ns,pause_max_ns,pause_p99_ns,peak_watermark,peak_live_bytes,bytes_freed_total,bytes_moved_total,exit_status,reason
baseline_churn_b16384_s1,2026-06-19T02:25:18.582304+00:00,1781835796,baseline,16384,churn,1,0,oom,81000,81000,4102417,5445,16232,90,1,0,0,0,0,16240,0,0,0,2,
baseline_churn_b16384_s7,2026-06-19T02:25:18.651458+00:00,1781835796,baseline,16384,churn,7,0,oom,83000,83000,2981500,5649,16248,102,1,0,0,0,0,16256,0,0,0,2,
baseline_churn_b16384_s13,2026-06-19T02:25:18.715545+00:00,1781835796,baseline,16384,churn,13,0,oom,80000,80000,3709958,5379,16324,86,1,0,0,0,0,16332,0,0,0,2,
baseline_churn_b16384_s42,2026-06-19T02:25:18.778490+00:00,1781835796,baseline,16384,churn,42,0,oom,94000,94000,3944875,5631,16312,102,1,0,0,0,0,16320,0,0,0,2,
baseline_churn_b16384_s101,2026-06-19T02:25:18.840505+00:00,1781835796,baseline,16384,churn,101,0,oom,82000,82000,2789166,5607,16208,99,1,0,0,0,0,16216,0,0,0,2,
baseline_churn_b16384_s271,2026-06-19T02:25:18.906471+00:00,1781835796,baseline,16384,churn,271,0,oom,79000,79000,3976375,5421,16260,89,1,0,0,0,0,16268,0,0,0,2,
baseline_churn_b16384_s1009,2026-06-19T02:25:18.978070+00:00,1781835796,baseline,16384,churn,1009,0,oom,92000,92000,4187334,5553,16260,96,1,0,0,0,0,16268,0,0,0,2,
baseline_churn_b16384_s9973,2026-06-19T02:25:19.048148+00:00,1781835796,baseline,16384,churn,9973,0,oom,88000,88000,4007917,5481,16328,93,1,0,0,0,0,16336,0,0,0,2,
baseline_longlived_b16384_s1,2026-06-19T02:25:19.110980+00:00,1781835796,baseline,16384,longlived,1,0,oom,63000,63000,3975958,3578,16332,184,1,0,0,0,0,16340,0,0,0,2,
baseline_longlived_b16384_s7,2026-06-19T02:25:19.170275+00:00,1781835796,baseline,16384,longlived,7,0,oom,66000,66000,2758792,3903,16212,210,1,0,0,0,0,16220,0,0,0,2,
