t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
118000,3000,27736,0,5024,27736,9364
189000,3000,27168,0,5492,27268,5112
258000,3000,27028,0,5572,27188,9900
327000,4000,27172,0,5432,27328,5364
392000,3000,27036,0,5568,27192,5100
460000,3000,27064,0,5600,27160,10532
529000,3000,27168,0,5528,27232,6248
595000,3000,27008,0,5600,27160,6424
662000,3000,27064,0,5568,27192,5644
729000,3000,27244,0,5408,27352,6876
801000,3000,27152,0,5556,27204,10684
871000,3000,27060,0,5492,27268,5700
937000,3000,27056,0,5484,27276,4516
1004000,3000,27112,0,5440,27320,9492
1073000,4000,27096,0,5544,27216,9396
1142000,3000,27092,0,5408,27352,4108
1205000,3000,26916,0,5532,27228,5524
1272000,3000,27184,0,5432,27328,10068
1340000,3000,27080,0,5460,27300,10596
1410000,3000,27208,0,5500,27260,4016
1472000,3000,26988,0,5468,27292,7508
1538000,3000,27124,0,5444,27316,6672
1602000,3000,27028,0,5384,27376,4560
1667000,3000,27120,0,5440,27320,6140
1734000,3000,27244,0,5448,27312,9956
1800000,2000,27060,0,5392,27368,6716
1867000,3000,26972,0,5568,27192,6040
1932000,3000,27080,0,5468,27292,8972
2000000,3000,27296,0,5352,27408,6176
2066000,3000,27084,0,5548,27212,5968
2137000,4000,27172,0,5352,27408,9104
2206000,3000,27140,0,5580,27180,7656
2275000,3000,27048,0,5512,27248,6024
2340000,3000,27000,0,5548,27212,4972
2407000,2000,27176,0,5440,27320,7120
2474000,3000,27268,0,5352,27408,7756
2542000,2000,27192,0,5384,27376,8332
2609000,3000,27192,0,5352,27408,5816
2673000,3000,26832,0,5576,27184,8392
2740000,2000,27100,0,5608,27152,5120
2802000,2000,27140,0,5432,27328,4364
2864000,3000,27136,0,5448,27312,5816
2929000,3000,27052,0,5512,27248,5024
2994000,3000,27196,0,5352,27408,7692
3061000,3000,27124,0,5416,27344,7188
3126000,3000,26968,0,5520,27240,8396
3193000,3000,27092,0,5524,27236,7168
3259000,3000,27236,0,5420,27340,5784
3324000,3000,27052,0,5500,27260,6560
3390000,3000,27328,0,5360,27400,6052
3455000,3000,27144,0,5412,27348,10632
3521000,3000,26940,0,5556,27204,3768
3585000,3000,27016,0,5528,27232,8660
3652000,3000,26948,0,5608,27152,5916
3716000,3000,27004,0,5540,27220,4756
3782000,3000,27040,0,5540,27220,6128
3847000,3000,27064,0,5584,27176,6312
3913000,3000,27204,0,5428,27332,4712
3977000,3000,26956,0,5612,27148,5408
4040000,3000,27264,0,5408,27352,6472
4108000,3000,27076,0,5412,27348,5680
4173000,3000,27136,0,5396,27364,5484
4239000,3000,27084,0,5588,27172,7112
4304000,3000,27192,0,5432,27328,9124
4372000,3000,26976,0,5552,27208,8616
4441000,3000,27016,0,5560,27200,4644
4505000,3000,27132,0,5492,27268,5064
4571000,2000,27164,0,5484,27276,11236
4638000,2000,26968,0,5616,27144,9900
4704000,3000,26952,0,5564,27196,6124
