t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
349000,2000,10280,0,6016,10280,4380
576000,3000,9576,0,6528,9768,3132
797000,3000,9640,0,6456,9840,3132
1021000,2000,9680,0,6496,9800,3000
1243000,2000,9528,0,6656,9640,2836
1458000,2000,9668,0,6508,9788,3852
1701000,2000,9620,0,6488,9808,3628
1930000,2000,9436,0,6596,9700,2072
2151000,2000,9596,0,6528,9768,3432
2375000,2000,9692,0,6508,9788,3080
2598000,2000,9548,0,6516,9780,3080
2822000,3000,9672,0,6444,9852,3756
3043000,3000,9392,0,6596,9700,3756
3266000,2000,9576,0,6644,9652,3756
3488000,2000,9664,0,6500,9796,2696
3713000,3000,9640,0,6456,9840,2704
3934000,2000,9560,0,6580,9716,3016
4157000,2000,9572,0,6548,9748,3016
4401000,3000,9608,0,6424,9872,3456
4623000,2000,9288,0,6664,9632,2536
4839000,2000,9660,0,6508,9788,2536
5060000,2000,9580,0,6488,9808,2536
5280000,2000,9436,0,6596,9700,2388
5498000,2000,9592,0,6528,9768,2356
5715000,2000,9640,0,6464,9832,2768
5947000,2000,9588,0,6524,9772,2768
6168000,2000,9668,0,6448,9848,3444
6385000,2000,9396,0,6600,9696,2792
6604000,2000,9588,0,6648,9648,2424
6823000,2000,9668,0,6496,9880,2424
7051000,2000,9884,0,6476,9900,1972
7276000,2000,9468,0,6552,9824,3360
7501000,2000,9848,0,6452,9924,3360
7725000,2000,9584,0,6600,9776,3344
7945000,2000,9548,0,6516,9860,3388
8164000,3000,9676,0,6516,9860,3500
8387000,3000,9580,0,6656,9720,3500
8605000,2000,9468,0,6664,9712,1928
8849000,2000,9440,0,6624,9752,2060
9086000,2000,9780,0,6440,9936,2572
9310000,2000,9736,0,6492,9884,2492
9530000,2000,9568,0,6532,9844,2632
9749000,2000,9660,0,6476,9900,2796
9979000,2000,9676,0,6580,9796,2868
10234000,3000,9700,0,6524,9852,3872
10477000,2000,9620,0,6532,9844,3076
10712000,2000,9804,0,6452,9924,2880
10944000,2000,9748,0,6468,9908,2880
11171000,2000,9736,0,6468,9908,3112
11408000,2000,9868,0,6452,9924,2040
11636000,2000,9760,0,6504,9872,2328
11863000,2000,9684,0,6520,9856,2348
12099000,2000,9680,0,6440,9936,4628
12328000,2000,9592,0,6644,9732,3336
12549000,2000,9608,0,6508,9868,3336
12803000,3000,9532,0,6672,9704,1956
13030000,2000,9800,0,6476,9900,2252
13247000,2000,9460,0,6552,9824,2456
13475000,2000,9836,0,6452,9924,2968
13702000,2000,9580,0,6600,9776,2388
13927000,3000,9632,0,6660,9716,2052
14144000,2000,9584,0,6508,9868,4608
14371000,2000,9580,0,6648,9728,4324
14592000,2000,9464,0,6656,9720,2696
14811000,2000,9436,0,6616,9760,2060
15039000,2000,9784,0,6440,9936,2060
15267000,2000,9740,0,6488,9888,3308
15495000,2000,9556,0,6528,9848,2308
15719000,2000,9648,0,6472,9904,2416
15943000,2000,9696,0,6576,9800,2216
16165000,2000,9680,0,6524,9852,2076
16387000,2000,9636,0,6532,9844,2348
16607000,2000,9804,0,6452,9924,1784
16836000,2000,9756,0,6476,9900,2172
17064000,2000,9736,0,6476,9900,2464
17292000,2000,9864,0,6456,9920,2164
17518000,2000,9760,0,6508,9868,2196
17743000,2000,9696,0,6516,9860,2196
17966000,2000,9676,0,6440,9936,2332
18192000,2000,9572,0,6644,9732,3220
18412000,2000,9612,0,6508,9868,3112
18639000,2000,9536,0,6672,9704,3112
18882000,4000,9800,0,6476,9900,2912
19109000,2000,9464,0,6552,9824,2912
19354000,3000,9836,0,6456,9920,3240
19588000,2000,9584,0,6600,9776,2348
19815000,3000,9536,0,6516,9860,3056
20041000,2000,9680,0,6516,9860,3292
20269000,2000,9584,0,6648,9728,3292
20490000,2000,9460,0,6656,9720,2748
20751000,2000,9472,0,6620,9756,2668
20973000,3000,9764,0,6444,9932,2240
21194000,2000,9736,0,6492,9884,2208
21410000,2000,9548,0,6532,9844,2212
21624000,2000,9660,0,6472,9904,4356
21851000,2000,9672,0,6576,9800,4124
22071000,2000,9604,0,6492,9884,3976
22296000,2000,9704,0,6532,9844,2636
22516000,2000,9808,0,6460,9916,2052
22741000,2000,9756,0,6476,9900,2052
22966000,2000,9728,0,6476,9900,2052
23182000,2000,9308,0,6620,9756,2464
23400000,2000,9568,0,6572,9804,3192
23624000,2000,9796,0,6476,9900,3192
23847000,2000,9656,0,6540,9836,3192
24068000,2000,9648,0,6596,9780,2916
24300000,2000,9796,0,6524,9852,2356
24528000,2000,9688,0,6592,9784,2980
24755000,2000,9796,0,6460,9916,2036
24975000,2000,9568,0,6580,9796,1800
25200000,2000,9704,0,6540,9836,2916
25424000,2000,9472,0,6640,9736,2932
25647000,3000,9532,0,6664,9712,5024
25866000,2000,9516,0,6612,9764,5352
26090000,2000,9592,0,6612,9764,5024
26311000,3000,9544,0,6616,9760,2316
26529000,2000,9512,0,6580,9796,2892
26746000,2000,9588,0,6512,9864,3312
26970000,2000,9648,0,6612,9764,4832
27191000,2000,9860,0,6416,9960,4116
27411000,2000,9532,0,6556,9820,2552
27633000,2000,9820,0,6496,9880,3172
27882000,2000,9600,0,6624,9752,3172
28110000,2000,9680,0,6636,9740,1924
28325000,3000,9564,0,6488,9888,3324
28555000,2000,9828,0,6468,9908,3272
28781000,2000,9764,0,6496,9880,3204
29013000,2000,9536,0,6616,9760,2472
29240000,2000,9660,0,6492,9884,2472
29474000,3000,9656,0,6600,9776,2472
29705000,2000,9700,0,6536,9840,3992
29936000,2000,9816,0,6416,9960,3864
30168000,2000,9740,0,6448,9928,3864
30404000,2000,9716,0,6568,9808,3760
30635000,4000,9708,0,6448,9928,2008
30863000,2000,9368,0,6676,9700,2500
31093000,3000,9712,0,6532,9844,2344
31327000,3000,9756,0,6488,9888,2244
31558000,3000,9516,0,6664,9712,1888
31783000,2000,9644,0,6516,9860,3268
32018000,2000,9660,0,6628,9748,3268
32249000,2000,9752,0,6536,9840,2892
32479000,3000,9500,0,6680,9696,3328
32705000,2000,9512,0,6604,9772,2436
32934000,2000,9764,0,6520,9856,2332
33162000,2000,9644,0,6556,9820,3920
33381000,2000,9532,0,6556,9820,2292
33613000,2000,9624,0,6608,9768,2488
33839000,3000,9532,0,6512,9864,2480
34067000,2000,9608,0,6540,9836,2396
34281000,2000,9396,0,6552,9824,2596
34516000,2000,9840,0,6452,9924,2596
34744000,2000,9576,0,6600,9776,2492
34963000,3000,9520,0,6524,9852,3660
35186000,2000,9692,0,6516,9860,4976
35413000,2000,9576,0,6656,9720,4660
35637000,2000,9452,0,6672,9704,2748
35856000,2000,9476,0,6624,9752,2312
36079000,2000,9776,0,6448,9928,2116
36306000,3000,9736,0,6488,9888,2116
36530000,3000,9556,0,6528,9848,2028
36752000,2000,9652,0,6472,9904,2736
36989000,2000,9696,0,6576,9800,2324
37214000,2000,9684,0,6532,9844,2324
37449000,2000,9628,0,6540,9836,2784
37664000,2000,9436,0,6524,9852,3700
37890000,2000,9648,0,6484,9892,3480
38115000,2000,9740,0,6456,9920,2108
38346000,2000,9668,0,6572,9804,2204
38567000,2000,9668,0,6468,9908,2228
38794000,2000,9852,0,6416,9960,2228
39021000,2000,9632,0,6540,9836,3172
39244000,2000,9648,0,6604,9772,2344
39465000,2000,9564,0,6644,9732,2644
39686000,2000,9488,0,6608,9768,2344
39917000,2000,9608,0,6648,9728,2368
40142000,2000,9440,0,6628,9748,2048
40364000,2000,9616,0,6528,9848,2680
40589000,2000,9556,0,6636,9740,2268
40835000,5000,9488,0,6588,9788,2128
41066000,2000,9620,0,6620,9756,3376
41291000,2000,9588,0,6556,9820,4260
41516000,3000,9592,0,6608,9768,2140
41744000,2000,9816,0,6448,9928,2700
41971000,3000,9648,0,6520,9856,3124
42205000,2000,9668,0,6520,9856,3124
42432000,2000,9784,0,6440,9936,1808
42653000,2000,9392,0,6596,9780,2808
42878000,2000,9800,0,6512,9864,2808
43106000,2000,9512,0,6676,9700,3356
43333000,2000,9792,0,6476,9900,2256
43551000,2000,9468,0,6560,9816,2256
43780000,2000,9516,0,6548,9828,2256
44007000,2000,9700,0,6528,9848,4456
44248000,2000,9728,0,6524,9852,3380
44507000,2000,9680,0,6516,9860,3196
44748000,3000,9372,0,6620,9756,3196
44979000,2000,9464,0,6616,9760,1532
45200000,2000,9652,0,6616,9760,2716
45453000,2000,9772,0,6440,9936,2324
45699000,2000,9484,0,6656,9720,2324
45920000,2000,9752,0,6464,9912,3060
46136000,2000,9296,0,6640,9736,3848
46357000,2000,9756,0,6588,9788,3848
46577000,2000,9524,0,6616,9760,2952
46802000,2000,9708,0,6628,9748,2032
47014000,2000,9572,0,6476,9900,2248
47240000,2000,9836,0,6456,9920,2248
47467000,3000,9628,0,6548,9828,2248
