t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
336000,13000,13496,0,19240,13496,12472
488000,13000,13268,0,19292,13444,8464
619000,12000,13232,0,19248,13488,6160
747000,12000,13324,0,19176,13560,5592
878000,11000,13512,0,19176,13560,5720
1010000,11000,13636,0,19036,13700,4584
1133000,11000,13188,0,19308,13428,3468
1260000,11000,12984,0,19320,13416,3712
1381000,11000,13236,0,19248,13488,7340
1508000,11000,13428,0,19184,13552,3344
1635000,12000,13480,0,19092,13644,5740
1763000,11000,13248,0,19304,13432,8224
1899000,12000,13028,0,19296,13440,2980
2026000,12000,13224,0,19236,13500,4592
2153000,11000,13220,0,19172,13564,4076
2278000,11000,13276,0,19176,13560,5276
2417000,12000,13668,0,18952,13784,4244
2541000,11000,13136,0,19316,13420,3760
2694000,15000,12964,0,19300,13436,2568
2823000,13000,13120,0,19260,13476,3860
2951000,13000,13212,0,19180,13556,4676
3082000,12000,13204,0,19104,13632,3516
3221000,11000,13468,0,19024,13712,5596
3355000,11000,13188,0,19312,13424,2316
3479000,11000,13220,0,19324,13412,2916
3596000,10000,13020,0,19244,13492,3444
3716000,10000,13156,0,19184,13552,3068
3838000,11000,13360,0,19096,13640,4040
3963000,10000,13380,0,19244,13492,5660
4088000,10000,13084,0,19304,13432,4524
4206000,10000,13356,0,19248,13488,4520
4324000,11000,13400,0,19188,13548,4004
4446000,10000,13188,0,19176,13560,4544
4575000,11000,13668,0,18932,13804,5224
4707000,11000,13332,0,19304,13432,3880
4838000,10000,13116,0,19320,13416,3296
4959000,11000,13240,0,19256,13480,3424
5083000,10000,13168,0,19204,13532,3736
5209000,11000,13396,0,19088,13648,4948
5336000,10000,13340,0,19020,13716,3716
5460000,11000,12804,0,19292,13444,3464
5584000,11000,13180,0,19316,13420,3008
5703000,10000,13012,0,19412,13324,4360
5828000,11000,13340,0,19188,13548,3392
5961000,11000,13212,0,19180,13556,6108
6095000,11000,13276,0,19252,13484,3276
6228000,11000,13084,0,19300,13436,5944
6356000,11000,13340,0,19240,13496,3520
6484000,11000,13400,0,19188,13548,5492
6613000,11000,13184,0,19172,13564,3748
6747000,12000,13660,0,18948,13788,4856
6877000,11000,13252,0,19300,13436,3728
7011000,11000,13072,0,19300,13436,2900
7136000,11000,13092,0,19248,13488,2492
7263000,11000,13280,0,19184,13552,3648
7393000,12000,13180,0,19088,13648,3452
7527000,11000,13456,0,19020,13716,3600
7657000,11000,13040,0,19300,13436,3596
7786000,11000,13184,0,19296,13440,5884
7913000,10000,13128,0,19400,13336,4704
8043000,11000,13312,0,19188,13548,6048
8176000,11000,13600,0,18916,13820,8524
8310000,11000,13304,0,19304,13432,4792
8443000,11000,13192,0,19300,13436,4548
8569000,11000,13124,0,19252,13484,4008
8701000,11000,13440,0,19192,13544,4144
8835000,12000,13476,0,19120,13616,6172
