run_id,timestamp,binary_mtime,collector,budget,workload,seed,exit_code,status,run_ns,mutator_ns,proc_wall_ns,instructions,bytes_allocated,alloc_count,collections,total_pause_ns,pause_mean_ns,pause_max_ns,pause_p99_ns,peak_watermark,peak_live_bytes,bytes_freed_total,bytes_moved_total,exit_status,reason
baseline_churn_b16384_s1,2026-06-19T03:57:43.912266+00:00,1781841286,baseline,16384,churn,1,0,oom,76000,75000,160378708,5445,16232,90,1,1000,1000,1000,1000,16240,0,0,0,2,
baseline_churn_b16384_s7,2026-06-19T03:57:43.976262+00:00,1781841286,baseline,16384,churn,7,0,oom,86000,86000,2802208,5649,16248,102,1,0,0,0,0,16256,0,0,0,2,
baseline_churn_b16384_s13,2026-06-19T03:57:44.041047+00:00,1781841286,baseline,16384,churn,13,0,oom,92000,92000,2723791,5379,16324,86,1,0,0,0,0,16332,0,0,0,2,
baseline_churn_b16384_s42,2026-06-19T03:57:44.103961+00:00,1781841286,baseline,16384,churn,42,0,oom,81000,81000,2937458,5631,16312,102,1,0,0,0,0,16320,0,0,0,2,
baseline_churn_b16384_s101,2026-06-19T03:57:44.169518+00:00,1781841286,baseline,16384,churn,101,0,oom,78000,78000,3108333,5607,16208,99,1,0,0,0,0,16216,0,0,0,2,
baseline_churn_b16384_s271,2026-06-19T03:57:44.236125+00:00,1781841286,baseline,16384,churn,271,0,oom,81000,81000,2784375,5421,16260,89,1,0,0,0,0,16268,0,0,0,2,
baseline_churn_b16384_s1009,2026-06-19T03:57:44.299604+00:00,1781841286,baseline,16384,churn,1009,0,oom,99000,99000,2728542,5553,16260,96,1,0,0,0,0,16268,0,0,0,2,
baseline_churn_b16384_s9973,2026-06-19T03:57:44.363286+00:00,1781841286,baseline,16384,churn,9973,0,oom,81000,81000,3002417,5481,16328,93,1,0,0,0,0,16336,0,0,0,2,
baseline_longlived_b16384_s1,2026-06-19T03:57:44.418670+00:00,1781841286,baseline,16384,longlived,1,0,oom,70000,70000,3039541,3578,16332,184,1,0,0,0,0,16340,0,0,0,2,
baseline_longlived_b16384_s7,2026-06-19T03:57:44.470609+00:00,1781841286,baseline,16384,longlived,7,0,oom,64000,64000,3090875,3903,16212,210,1,0,0,0,0,16220,0,0,0,2,
baseline_longlived_b16384_s13,2026-06-19T03:57:44.524444+00:00,1781841286,baseline,16384,longlived,13,0,oom,64000,64000,2846750,3528,16244,180,1,0,0,0,0,16252,0,0,0,2,
baseline_longlived_b16384_s42,2026-06-19T03:57:44.578917+00:00,1781841286,baseline,16384,longlived,42,0,oom,64000,64000,3249167,3878,16320,208,1,0,0,0,0,16328,0,0,0,2,
baseline_longlived_b16384_s101,2026-06-19T03:57:44.634376+00:00,1781841286,baseline,16384,longlived,101,0,oom,64000,64000,2883167,3803,16312,202,1,0,0,0,0,16320,0,0,0,2,
baseline_longlived_b16384_s271,2026-06-19T03:57:44.686519+00:00,1781841286,baseline,16384,longlived,271,0,oom,62000,62000,2990667,3578,16356,184,1,0,0,0,0,16364,0,0,0,2,
baseline_longlived_b16384_s1009,2026-06-19T03:57:44.742935+00:00,1781841286,baseline,16384,longlived,1009,0,oom,64000,64000,3254000,3753,16256,198,1,0,0,0,0,16264,0,0,0,2,
baseline_longlived_b16384_s9973,2026-06-19T03:57:44.795148+00:00,1781841286,baseline,16384,longlived,9973,0,oom,63000,63000,3015750,3653,16228,190,1,0,0,0,0,16236,0,0,0,2,
baseline_mutate_b16384_s1,2026-06-19T03:57:44.863841+00:00,1781841286,baseline,16384,mutate,1,0,oom,200000,200000,4265042,13941,16264,302,1,0,0,0,0,16272,0,0,0,2,
baseline_mutate_b16384_s7,2026-06-19T03:57:44.933678+00:00,1781841286,baseline,16384,mutate,7,0,oom,206000,206000,3382333,16020,16300,316,1,0,0,0,0,16308,0,0,0,2,
