t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
70000,1000,4536,3528,3528,4660,4660
80000,1000,4636,3532,3532,4656,4656
89000,1000,3988,4084,4084,4104,4104
95000,1000,3820,4288,4288,3900,3900
102000,1000,3580,4600,4600,3588,3588
109000,1000,3592,4584,4584,3604,3604
117000,1000,3596,4524,4524,3664,3664
122000,1000,2920,5152,5152,3036,3036
130000,1000,2896,5292,5292,2896,2896
137000,1000,2872,5220,5220,2968,2968
143000,1000,2804,5336,5336,2852,2852
149000,1000,2752,5364,5364,2824,2824
155000,1000,2832,5268,5268,2920,2920
161000,1000,2956,5208,5208,2980,2980
166000,1000,2956,5212,5212,2976,2976
171000,1000,2740,5288,5288,2900,2900
177000,1000,2688,5424,5424,2764,2764
182000,1000,2772,5280,5280,2908,2908
189000,1000,2840,5336,5336,2852,2852
194000,1000,2652,5412,5412,2776,2776
200000,1000,2916,5232,5232,2956,2956
207000,1000,2876,5300,5300,2888,2888
213000,1000,2976,5200,5200,2988,2988
219000,1000,2724,5332,5332,2856,2856
225000,1000,2756,5252,5252,2936,2936
231000,1000,2840,5232,5232,2956,2956
236000,1000,2712,5368,5368,2820,2820
242000,1000,2872,5268,5268,2920,2920
248000,1000,2980,5204,5204,2984,2984
254000,1000,2836,5300,5300,2888,2888
260000,1000,2884,5236,5236,2952,2952
266000,1000,2736,5364,5364,2824,2824
271000,1000,2892,5216,5216,2972,2972
278000,1000,2852,5284,5284,2904,2904
285000,1000,2808,5340,5340,2848,2848
291000,1000,2968,5216,5216,2972,2972
297000,1000,2776,5340,5340,2848,2848
303000,1000,2848,5304,5304,2884,2884
308000,1000,2576,5392,5392,2796,2796
313000,1000,2768,5312,5312,2876,2876
319000,1000,2900,5280,5280,2908,2908
325000,1000,2884,5304,5304,2884,2884
331000,1000,2944,5228,5228,2960,2960
337000,1000,2704,5408,5408,2780,2780
341000,1000,2832,5168,5168,3020,3020
348000,1000,2680,5272,5272,2916,2916
355000,1000,2864,5204,5204,2984,2984
361000,1000,2840,5296,5296,2892,2892
367000,1000,2928,5244,5244,2944,2944
373000,1000,2844,5212,5212,2976,2976
379000,1000,2944,5200,5200,2988,2988
384000,1000,2904,5208,5208,2980,2980
390000,1000,2812,5372,5372,2816,2816
395000,1000,2768,5292,5292,2896,2896
401000,1000,2896,5280,5280,2908,2908
407000,1000,2840,5336,5336,2852,2852
412000,1000,2652,5412,5412,2776,2776
418000,1000,2916,5232,5232,2956,2956
425000,1000,2876,5300,5300,2888,2888
431000,1000,2976,5200,5200,2988,2988
437000,1000,2724,5332,5332,2856,2856
443000,1000,2756,5252,5252,2936,2936
449000,1000,2840,5232,5232,2956,2956
454000,1000,2712,5368,5368,2820,2820
459000,1000,2872,5268,5268,2920,2920
467000,1000,2980,5204,5204,2984,2984
473000,1000,2836,5300,5300,2888,2888
479000,1000,2884,5236,5236,2952,2952
484000,1000,2736,5364,5364,2824,2824
489000,1000,2892,5216,5216,2972,2972
497000,1000,2852,5284,5284,2904,2904
503000,1000,2808,5340,5340,2848,2848
509000,1000,2968,5216,5216,2972,2972
515000,1000,2776,5340,5340,2848,2848
521000,1000,2848,5304,5304,2884,2884
526000,1000,2576,5392,5392,2796,2796
531000,1000,2768,5312,5312,2876,2876
537000,1000,2900,5280,5280,2908,2908
543000,1000,2884,5304,5304,2884,2884
549000,1000,2944,5228,5228,2960,2960
555000,1000,2704,5408,5408,2780,2780
560000,1000,2832,5168,5168,3020,3020
567000,1000,2680,5272,5272,2916,2916
574000,1000,2864,5204,5204,2984,2984
579000,1000,2840,5296,5296,2892,2892
587000,1000,2928,5244,5244,2944,2944
594000,1000,2844,5212,5212,2976,2976
602000,1000,2944,5200,5200,2988,2988
608000,2000,2904,5208,5208,2980,2980
616000,1000,2812,5372,5372,2816,2816
622000,1000,2768,5292,5292,2896,2896
628000,1000,2896,5280,5280,2908,2908
635000,0,2840,5336,5336,2852,2852
639000,1000,2652,5412,5412,2776,2776
645000,1000,2916,5232,5232,2956,2956
653000,0,2876,5300,5300,2888,2888
659000,1000,2976,5200,5200,2988,2988
665000,1000,2724,5332,5332,2856,2856
671000,1000,2756,5252,5252,2936,2936
677000,1000,2840,5232,5232,2956,2956
682000,1000,2712,5368,5368,2820,2820
687000,1000,2872,5268,5268,2920,2920
693000,0,2980,5204,5204,2984,2984
698000,1000,2836,5300,5300,2888,2888
704000,1000,2884,5236,5236,2952,2952
710000,1000,2736,5364,5364,2824,2824
715000,1000,2892,5216,5216,2972,2972
722000,1000,2852,5284,5284,2904,2904
728000,1000,2808,5340,5340,2848,2848
735000,1000,2968,5216,5216,2972,2972
741000,1000,2776,5340,5340,2848,2848
746000,1000,2848,5304,5304,2884,2884
752000,1000,2576,5392,5392,2796,2796
757000,1000,2768,5312,5312,2876,2876
762000,1000,2900,5280,5280,2908,2908
768000,1000,2884,5304,5304,2884,2884
774000,1000,2944,5228,5228,2960,2960
780000,1000,2704,5408,5408,2780,2780
784000,1000,2832,5168,5168,3020,3020
791000,1000,2680,5272,5272,2916,2916
798000,1000,2864,5204,5204,2984,2984
803000,1000,2840,5296,5296,2892,2892
810000,1000,2928,5244,5244,2944,2944
815000,1000,2844,5212,5212,2976,2976
821000,1000,2944,5200,5200,2988,2988
826000,1000,2904,5208,5208,2980,2980
832000,1000,2812,5372,5372,2816,2816
838000,1000,2768,5292,5292,2896,2896
843000,1000,2896,5280,5280,2908,2908
850000,0,2840,5336,5336,2852,2852
854000,1000,2652,5412,5412,2776,2776
860000,1000,2916,5232,5232,2956,2956
867000,1000,2876,5300,5300,2888,2888
874000,0,2976,5200,5200,2988,2988
880000,0,2724,5332,5332,2856,2856
885000,1000,2756,5252,5252,2936,2936
891000,1000,2840,5232,5232,2956,2956
897000,1000,2712,5368,5368,2820,2820
902000,1000,2872,5268,5268,2920,2920
908000,1000,2980,5204,5204,2984,2984
914000,1000,2836,5300,5300,2888,2888
920000,1000,2884,5236,5236,2952,2952
925000,1000,2736,5364,5364,2824,2824
930000,1000,2892,5216,5216,2972,2972
938000,1000,2852,5284,5284,2904,2904
