t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
343000,1000,10740,5624,5624,10756,10756
609000,2000,10028,6176,6176,10204,10204
837000,3000,9700,6616,6616,9764,9764
1052000,3000,9660,6644,6644,9736,9736
1270000,2000,9448,6720,6720,9660,9660
1492000,2000,9660,6608,6608,9772,9772
1720000,3000,9560,6720,6720,9660,9660
1951000,2000,9580,6660,6660,9720,9720
2168000,2000,9780,6580,6580,9800,9800
2392000,2000,9756,6468,6468,9912,9912
2612000,2000,9580,6676,6676,9704,9704
2828000,3000,9652,6728,6728,9652,9652
3046000,3000,9608,6672,6672,9708,9708
3265000,2000,9684,6588,6588,9792,9792
3487000,3000,9732,6620,6620,9760,9760
3706000,3000,9836,6540,6540,9840,9840
3923000,2000,9568,6676,6676,9704,9704
4142000,3000,9524,6720,6720,9660,9660
4366000,2000,9788,6572,6572,9808,9808
4580000,3000,9532,6668,6668,9712,9712
4808000,2000,9812,6536,6536,9844,9844
5040000,2000,9740,6552,6552,9828,9828
5274000,2000,9696,6684,6684,9696,9696
5506000,2000,9820,6512,6512,9868,9868
5732000,2000,9560,6720,6720,9660,9660
5961000,2000,9728,6496,6496,9884,9884
6179000,2000,9648,6644,6644,9736,9736
6393000,2000,9520,6724,6724,9656,9656
6629000,3000,9756,6604,6604,9776,9776
6851000,3000,9720,6556,6556,9824,9824
7071000,2000,9796,6584,6584,9796,9796
7286000,2000,9516,6660,6660,9720,9720
7513000,2000,9780,6508,6508,9872,9872
7733000,2000,9640,6728,6728,9652,9652
7963000,2000,9464,6720,6720,9660,9660
8184000,2000,9624,6700,6700,9680,9680
8414000,2000,9820,6540,6540,9840,9840
8639000,2000,9788,6568,6568,9812,9812
8857000,2000,9644,6716,6716,9664,9664
9073000,2000,9732,6624,6624,9756,9756
9293000,2000,9832,6544,6544,9836,9836
9529000,2000,9788,6548,6548,9832,9832
9762000,2000,9696,6624,6624,9756,9756
9976000,2000,9580,6600,6600,9780,9780
10203000,2000,9736,6616,6616,9764,9764
10429000,3000,9660,6644,6644,9736,9736
10643000,3000,9448,6720,6720,9660,9660
10856000,3000,9660,6608,6608,9772,9772
11078000,3000,9560,6720,6720,9660,9660
11299000,2000,9580,6660,6660,9720,9720
11546000,3000,9780,6580,6580,9800,9800
11767000,2000,9756,6468,6468,9912,9912
11990000,3000,9580,6676,6676,9704,9704
12218000,3000,9652,6728,6728,9652,9652
12437000,2000,9608,6672,6672,9708,9708
12670000,2000,9684,6588,6588,9792,9792
12891000,2000,9732,6620,6620,9760,9760
13110000,2000,9836,6540,6540,9840,9840
13326000,2000,9568,6676,6676,9704,9704
13559000,2000,9524,6720,6720,9660,9660
13774000,2000,9788,6572,6572,9808,9808
13993000,2000,9532,6668,6668,9712,9712
14214000,2000,9812,6536,6536,9844,9844
14436000,2000,9740,6552,6552,9828,9828
14659000,2000,9696,6684,6684,9696,9696
14880000,2000,9820,6512,6512,9868,9868
15107000,2000,9560,6720,6720,9660,9660
15341000,2000,9728,6496,6496,9884,9884
15566000,2000,9648,6644,6644,9736,9736
15783000,2000,9520,6724,6724,9656,9656
16002000,3000,9756,6604,6604,9776,9776
16226000,3000,9720,6556,6556,9824,9824
16465000,2000,9796,6584,6584,9796,9796
16692000,3000,9516,6660,6660,9720,9720
16915000,3000,9780,6508,6508,9872,9872
17150000,3000,9640,6728,6728,9652,9652
17374000,2000,9464,6720,6720,9660,9660
17595000,2000,9624,6700,6700,9680,9680
17825000,7000,9820,6540,6540,9840,9840
18060000,7000,9788,6568,6568,9812,9812
18296000,3000,9644,6716,6716,9664,9664
18524000,2000,9732,6624,6624,9756,9756
18757000,3000,9832,6544,6544,9836,9836
18984000,2000,9788,6548,6548,9832,9832
19204000,3000,9696,6624,6624,9756,9756
19435000,2000,9580,6600,6600,9780,9780
19662000,3000,9736,6616,6616,9764,9764
19885000,2000,9660,6644,6644,9736,9736
20105000,2000,9448,6720,6720,9660,9660
20321000,2000,9660,6608,6608,9772,9772
20542000,3000,9560,6720,6720,9660,9660
20786000,2000,9580,6660,6660,9720,9720
