t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
232000,21000,88060,42884,42884,88184,88184
362000,15000,88228,42740,42740,88328,88328
483000,14000,88164,42864,42864,88204,88204
600000,15000,88220,42800,42800,88268,88268
717000,15000,88084,42840,42840,88228,88228
836000,15000,88096,42916,42916,88152,88152
953000,15000,88148,42748,42748,88320,88320
1071000,15000,88264,42732,42732,88336,88336
1189000,15000,88284,42720,42720,88348,88348
1306000,15000,87900,42936,42936,88132,88132
1423000,15000,88020,42940,42940,88128,88128
1540000,16000,88132,42764,42764,88304,88304
1664000,15000,88172,42812,42812,88256,88256
1778000,14000,88164,42840,42840,88228,88228
1896000,15000,88180,42788,42788,88280,88280
2012000,15000,88092,42892,42892,88176,88176
2131000,15000,88124,42796,42796,88272,88272
2251000,16000,88132,42868,42868,88200,88200
2371000,16000,88108,42880,42880,88188,88188
2492000,15000,88080,42908,42908,88160,88160
2609000,15000,88208,42852,42852,88216,88216
2728000,15000,88148,42920,42920,88148,88148
2847000,15000,88188,42808,42808,88260,88260
2959000,15000,88124,42812,42812,88256,88256
3074000,14000,88324,42744,42744,88324,88324
3186000,14000,88084,42924,42924,88144,88144
3298000,14000,88180,42764,42764,88304,88304
3412000,14000,88076,42864,42864,88204,88204
3526000,15000,88260,42716,42716,88352,88352
3641000,15000,88100,42924,42924,88144,88144
3756000,15000,88288,42720,42720,88348,88348
3886000,14000,88120,42768,42768,88300,88300
4004000,15000,88156,42808,42808,88260,88260
4130000,15000,88112,42716,42716,88352,88352
4256000,14000,88172,42764,42764,88304,88304
4371000,15000,88172,42812,42812,88256,88256
4487000,14000,88164,42840,42840,88228,88228
4599000,14000,88180,42788,42788,88280,88280
4726000,14000,88092,42892,42892,88176,88176
4838000,15000,88124,42796,42796,88272,88272
4960000,14000,88132,42868,42868,88200,88200
5075000,14000,88108,42880,42880,88188,88188
5188000,14000,88080,42908,42908,88160,88160
5301000,14000,88208,42852,42852,88216,88216
5423000,14000,88148,42920,42920,88148,88148
5539000,15000,88188,42808,42808,88260,88260
5654000,14000,88124,42812,42812,88256,88256
5769000,15000,88324,42744,42744,88324,88324
5884000,15000,88084,42924,42924,88144,88144
5999000,15000,88180,42764,42764,88304,88304
6135000,15000,88076,42864,42864,88204,88204
6248000,15000,88260,42716,42716,88352,88352
6363000,14000,88100,42924,42924,88144,88144
6486000,15000,88288,42720,42720,88348,88348
6600000,14000,88120,42768,42768,88300,88300
6712000,15000,88156,42808,42808,88260,88260
6832000,14000,88112,42716,42716,88352,88352
6962000,14000,88172,42764,42764,88304,88304
7075000,14000,88172,42812,42812,88256,88256
7188000,14000,88164,42840,42840,88228,88228
7300000,14000,88180,42788,42788,88280,88280
7416000,15000,88092,42892,42892,88176,88176
7532000,15000,88124,42796,42796,88272,88272
7645000,14000,88132,42868,42868,88200,88200
7758000,15000,88108,42880,42880,88188,88188
7882000,14000,88080,42908,42908,88160,88160
7995000,14000,88208,42852,42852,88216,88216
8109000,15000,88148,42920,42920,88148,88148
8223000,14000,88188,42808,42808,88260,88260
8335000,14000,88124,42812,42812,88256,88256
8448000,15000,88324,42744,42744,88324,88324
8561000,14000,88084,42924,42924,88144,88144
8672000,14000,88180,42764,42764,88304,88304
8792000,14000,88076,42864,42864,88204,88204
8932000,16000,88260,42716,42716,88352,88352
9049000,14000,88100,42924,42924,88144,88144
9177000,15000,88288,42720,42720,88348,88348
9300000,15000,88120,42768,42768,88300,88300
9416000,15000,88156,42808,42808,88260,88260
9532000,14000,88112,42716,42716,88352,88352
9655000,16000,88172,42764,42764,88304,88304
9773000,15000,88172,42812,42812,88256,88256
9888000,15000,88164,42840,42840,88228,88228
