t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
399000,12000,16084,16584,16584,16180,16180
585000,10000,15872,16696,16696,16068,16068
761000,10000,16200,16544,16544,16220,16220
955000,11000,16244,16508,16508,16256,16256
1151000,10000,16164,16508,16508,16256,16256
1340000,10000,16188,16508,16508,16256,16256
1533000,10000,16300,16268,16268,16496,16496
1743000,19000,16420,16268,16268,16496,16496
1941000,10000,16384,16296,16296,16468,16468
2124000,10000,16468,16256,16256,16508,16508
2320000,10000,16300,16312,16312,16452,16452
2510000,10000,16236,16432,16432,16332,16332
2709000,24000,16300,16432,16432,16332,16332
2912000,11000,16136,16584,16584,16180,16180
3092000,11000,15988,16696,16696,16068,16068
3268000,10000,16184,16544,16544,16220,16220
3451000,9000,16188,16544,16544,16220,16220
3631000,10000,16108,16508,16508,16256,16256
3812000,10000,16168,16508,16508,16256,16256
3990000,10000,16232,16396,16396,16368,16368
4175000,9000,16308,16268,16268,16496,16496
4355000,9000,16384,16296,16296,16468,16468
4530000,10000,16468,16256,16256,16508,16508
4719000,9000,16300,16312,16312,16452,16452
4901000,10000,16236,16432,16432,16332,16332
5083000,10000,16300,16432,16432,16332,16332
5258000,10000,16136,16584,16584,16180,16180
5432000,10000,15988,16696,16696,16068,16068
5609000,9000,16184,16544,16544,16220,16220
5789000,9000,16188,16544,16544,16220,16220
5970000,10000,16108,16508,16508,16256,16256
6152000,10000,16168,16508,16508,16256,16256
6333000,10000,16232,16396,16396,16368,16368
6518000,10000,16308,16268,16268,16496,16496
6707000,10000,16384,16296,16296,16468,16468
6883000,10000,16468,16256,16256,16508,16508
7068000,9000,16300,16312,16312,16452,16452
7253000,10000,16236,16432,16432,16332,16332
7434000,10000,16300,16432,16432,16332,16332
7612000,9000,16136,16584,16584,16180,16180
7785000,9000,15988,16696,16696,16068,16068
7962000,10000,16184,16544,16544,16220,16220
8142000,9000,16188,16544,16544,16220,16220
8324000,9000,16108,16508,16508,16256,16256
8505000,10000,16168,16508,16508,16256,16256
8686000,9000,16232,16396,16396,16368,16368
8897000,11000,16308,16268,16268,16496,16496
9082000,11000,16384,16296,16296,16468,16468
9260000,10000,16468,16256,16256,16508,16508
9448000,9000,16300,16312,16312,16452,16452
9632000,10000,16236,16432,16432,16332,16332
9817000,10000,16300,16432,16432,16332,16332
9996000,9000,16136,16584,16584,16180,16180
10185000,10000,15988,16696,16696,16068,16068
10369000,11000,16184,16544,16544,16220,16220
10561000,10000,16188,16544,16544,16220,16220
10745000,10000,16108,16508,16508,16256,16256
10941000,11000,16168,16508,16508,16256,16256
11130000,10000,16232,16396,16396,16368,16368
11319000,10000,16308,16268,16268,16496,16496
11519000,13000,16384,16296,16296,16468,16468
11706000,11000,16468,16256,16256,16508,16508
11894000,10000,16300,16312,16312,16452,16452
12083000,9000,16236,16432,16432,16332,16332
12267000,10000,16300,16432,16432,16332,16332
12453000,10000,16136,16584,16584,16180,16180
12629000,10000,15988,16696,16696,16068,16068
12810000,10000,16184,16544,16544,16220,16220
12994000,10000,16188,16544,16544,16220,16220
13183000,10000,16108,16508,16508,16256,16256
13370000,10000,16168,16508,16508,16256,16256
13556000,10000,16232,16396,16396,16368,16368
13742000,10000,16308,16268,16268,16496,16496
13926000,10000,16384,16296,16296,16468,16468
14106000,9000,16468,16256,16256,16508,16508
14292000,10000,16300,16312,16312,16452,16452
14505000,13000,16236,16432,16432,16332,16332
14720000,10000,16300,16432,16432,16332,16332
14930000,13000,16136,16584,16584,16180,16180
15121000,10000,15988,16696,16696,16068,16068
15299000,10000,16184,16544,16544,16220,16220
15508000,24000,16188,16544,16544,16220,16220
15715000,10000,16108,16508,16508,16256,16256
15893000,10000,16168,16508,16508,16256,16256
16069000,10000,16232,16396,16396,16368,16368
16254000,9000,16308,16268,16268,16496,16496
16429000,10000,16384,16296,16296,16468,16468
16601000,9000,16468,16256,16256,16508,16508
16781000,9000,16300,16312,16312,16452,16452
16958000,10000,16236,16432,16432,16332,16332
17140000,9000,16300,16432,16432,16332,16332
17317000,9000,16136,16584,16584,16180,16180
17491000,10000,15988,16696,16696,16068,16068
17670000,9000,16184,16544,16544,16220,16220
17846000,9000,16188,16544,16544,16220,16220
18027000,10000,16108,16508,16508,16256,16256
18216000,9000,16168,16508,16508,16256,16256
18407000,9000,16232,16396,16396,16368,16368
18594000,9000,16308,16268,16268,16496,16496
18776000,10000,16384,16296,16296,16468,16468
18977000,15000,16468,16256,16256,16508,16508
