t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
1071000,101000,519116,1628,4988,519116,519116
2008000,87000,519268,1580,4940,519268,519268
2945000,87000,519072,1808,5168,519072,519072
3891000,87000,519132,1620,4980,519132,519132
4837000,93000,519196,1588,4948,519196,519196
5815000,91000,519224,1660,5020,519224,519224
6774000,88000,519220,1596,4956,519220,519220
7738000,89000,519120,1792,5152,519120,519120
8716000,96000,519096,1784,5144,519096,519096
9707000,89000,519288,1576,4936,519288,519288
10745000,94000,519004,1792,5152,519004,519004
11690000,87000,519112,1696,5056,519112,519112
12662000,88000,519180,1700,5060,519180,519180
