t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
5898000,53000,254636,2076,7500,254636,254636
11693000,57000,254568,2120,7544,254568,254568
17516000,51000,254540,2124,7548,254540,254540
23226000,48000,254464,2124,7548,254464,254464
29003000,49000,254464,2124,7548,254464,254464
34692000,73000,254464,2124,7548,254464,254464
40721000,47000,254464,2124,7548,254464,254464
46471000,49000,254464,2124,7548,254464,254464
52349000,48000,254464,2124,7548,254464,254464
58200000,48000,254464,2124,7548,254464,254464
64043000,47000,254464,2124,7548,254464,254464
69973000,54000,254464,2124,7548,254464,254464
75862000,48000,254464,2124,7548,254464,254464
81680000,48000,254464,2124,7548,254464,254464
87495000,47000,254464,2124,7548,254464,254464
93269000,47000,254464,2124,7548,254464,254464
99085000,48000,254464,2124,7548,254464,254464
104826000,50000,254464,2124,7548,254464,254464
110569000,47000,254464,2124,7548,254464,254464
116472000,47000,254464,2124,7548,254464,254464
122180000,48000,254464,2124,7548,254464,254464
128139000,53000,254464,2124,7548,254464,254464
133981000,55000,254464,2124,7548,254464,254464
139798000,49000,254464,2124,7548,254464,254464
145582000,51000,254464,2124,7548,254464,254464
151452000,53000,254464,2124,7548,254464,254464
157283000,48000,254464,2124,7548,254464,254464
