t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
226000,60000,88060,208,42884,88060,88060
436000,40000,88228,64,42740,88228,88228
570000,37000,88164,188,42864,88164,88164
700000,38000,88220,124,42800,88220,88220
832000,37000,88084,164,42840,88084,88084
963000,38000,88096,240,42916,88096,88096
1094000,38000,88148,72,42748,88148,88148
1225000,38000,88264,56,42732,88264,88264
1357000,38000,88284,44,42720,88284,88284
1488000,38000,87900,260,42936,87900,87900
1619000,37000,88020,264,42940,88020,88020
1749000,39000,88132,88,42764,88132,88132
1884000,46000,88172,136,42812,88172,88172
2027000,39000,88164,164,42840,88164,88164
2163000,38000,88180,112,42788,88180,88180
2298000,38000,88092,216,42892,88092,88092
2432000,39000,88124,120,42796,88124,88124
2567000,38000,88132,192,42868,88132,88132
2701000,39000,88108,204,42880,88108,88108
2836000,39000,88080,232,42908,88080,88080
2972000,39000,88208,176,42852,88208,88208
3107000,38000,88072,76,42752,88072,88072
3243000,39000,88168,96,42772,88168,88168
3377000,39000,88220,136,42812,88220,88220
3511000,38000,88216,108,42784,88216,88216
3647000,39000,87952,240,42916,87952,87952
3782000,38000,88164,116,42792,88164,88164
3917000,42000,88200,132,42808,88200,88200
4056000,52000,88268,68,42744,88268,88268
4204000,38000,88140,84,42760,88140,88140
4339000,38000,88184,188,42864,88184,88184
4481000,39000,88284,24,42700,88284,88284
4622000,39000,88180,132,42808,88180,88180
4757000,39000,88112,40,42716,88112,88112
4905000,39000,88172,88,42764,88172,88172
5042000,39000,88172,136,42812,88172,88172
5177000,39000,88164,164,42840,88164,88164
5316000,39000,88180,112,42788,88180,88180
5451000,38000,88092,216,42892,88092,88092
5585000,39000,88124,120,42796,88124,88124
5719000,48000,88132,192,42868,88132,88132
5864000,38000,88108,204,42880,88108,88108
5999000,39000,88080,232,42908,88080,88080
6133000,39000,88208,176,42852,88208,88208
6272000,39000,88072,76,42752,88072,88072
6408000,48000,88168,96,42772,88168,88168
6552000,38000,88220,136,42812,88220,88220
6686000,39000,88216,108,42784,88216,88216
6822000,38000,87952,240,42916,87952,87952
6956000,38000,88164,116,42792,88164,88164
7090000,39000,88200,132,42808,88200,88200
7227000,39000,88268,68,42744,88268,88268
7362000,39000,88140,84,42760,88140,88140
7497000,39000,88184,188,42864,88184,88184
7633000,39000,88284,24,42700,88284,88284
7767000,38000,88180,132,42808,88180,88180
7901000,39000,88112,40,42716,88112,88112
8035000,39000,88172,88,42764,88172,88172
8170000,39000,88172,136,42812,88172,88172
8305000,39000,88164,164,42840,88164,88164
8441000,39000,88180,112,42788,88180,88180
8580000,39000,88092,216,42892,88092,88092
8727000,74000,88124,120,42796,88124,88124
8909000,39000,88132,192,42868,88132,88132
9043000,39000,88108,204,42880,88108,88108
9186000,38000,88080,232,42908,88080,88080
9324000,39000,88208,176,42852,88208,88208
9458000,39000,88072,76,42752,88072,88072
9593000,39000,88168,96,42772,88168,88168
9727000,40000,88220,136,42812,88220,88220
9863000,39000,88216,108,42784,88216,88216
9998000,39000,87952,240,42916,87952,87952
10133000,39000,88164,116,42792,88164,88164
10268000,39000,88200,132,42808,88200,88200
10403000,39000,88268,68,42744,88268,88268
10538000,39000,88140,84,42760,88140,88140
10672000,39000,88184,188,42864,88184,88184
10808000,45000,88284,24,42700,88284,88284
10956000,39000,88180,132,42808,88180,88180
11099000,39000,88112,40,42716,88112,88112
11234000,39000,88172,88,42764,88172,88172
11384000,39000,88172,136,42812,88172,88172
11519000,46000,88164,164,42840,88164,88164
