t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
816000,32000,49240,7004,16260,49240,49240
1382000,41000,49248,7004,16260,49248,49248
1962000,28000,49180,7004,16260,49180,49180
2532000,27000,49068,6980,16236,49068,49068
3090000,27000,49072,7136,16392,49072,49072
3667000,27000,48964,7140,16396,48964,48964
4252000,28000,49088,6976,16232,49088,49088
4845000,35000,49280,6976,16232,49280,49280
5450000,26000,49396,6812,16068,49396,49396
6036000,27000,49484,6756,16012,49484,49484
6617000,27000,49284,6928,16184,49284,49284
7192000,27000,49176,6928,16184,49176,49176
7766000,27000,49224,6928,16184,49224,49224
8341000,27000,49204,7004,16260,49204,49204
8935000,27000,49164,7004,16260,49164,49164
9514000,26000,49180,7004,16260,49180,49180
10077000,27000,49068,6980,16236,49068,49068
10636000,26000,49072,7136,16392,49072,49072
11191000,27000,48964,7140,16396,48964,48964
11755000,26000,49088,6976,16232,49088,49088
12331000,26000,49280,6976,16232,49280,49280
12907000,27000,49396,6812,16068,49396,49396
13481000,27000,49484,6756,16012,49484,49484
14053000,27000,49284,6928,16184,49284,49284
14628000,27000,49176,6928,16184,49176,49176
15215000,26000,49224,6928,16184,49224,49224
15772000,26000,49204,7004,16260,49204,49204
16329000,27000,49164,7004,16260,49164,49164
16899000,26000,49180,7004,16260,49180,49180
17459000,26000,49068,6980,16236,49068,49068
18013000,26000,49072,7136,16392,49072,49072
18575000,26000,48964,7140,16396,48964,48964
