t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
523000,17000,257060,0,5028,257060,225192
2973000,16000,256752,0,5164,256924,193264
4868000,17000,256896,0,5120,256968,156648
6296000,16000,256944,0,5080,257008,119696
7657000,17000,256840,0,5140,256948,139084
9575000,17000,256956,0,5000,257088,174368
11529000,16000,256884,0,5096,256992,211032
14269000,16000,256964,0,5056,257032,211628
16829000,15000,256980,0,5040,257048,217712
19585000,16000,256840,0,5060,257028,220024
21787000,17000,256960,0,5024,257064,220736
23911000,16000,257092,0,4940,257148,227004
25949000,16000,256692,0,5100,256988,211304
28223000,16000,256800,0,5164,256924,181564
29940000,16000,256800,0,5120,256968,154316
31348000,16000,257012,0,4908,257180,122776
32840000,16000,256952,0,4980,257108,136068
34531000,16000,256964,0,5068,257020,171656
36656000,16000,256884,0,5040,257048,205740
39201000,15000,256724,0,5168,256920,226204
41729000,17000,256828,0,5160,256928,211968
44350000,22000,256908,0,5008,257080,211484
46808000,16000,256888,0,5172,256916,191888
48945000,15000,257112,0,4908,257180,184832
50768000,15000,256904,0,5092,256996,164376
52371000,20000,256900,0,5076,257012,135960
53692000,15000,256968,0,5052,257036,122800
55202000,15000,256920,0,5036,257052,159312
