t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
2834000,9000,123724,0,7172,123724,88140
6172000,9000,123868,0,7068,123936,58420
9376000,9000,123764,0,7136,123868,67228
12414000,9000,123796,0,7120,123884,93376
15792000,9000,123936,0,6960,124044,88832
19072000,9000,123720,0,7112,123892,70052
22185000,9000,123872,0,7024,123980,52220
25219000,9000,123644,0,7244,123760,68744
28296000,8000,123720,0,7088,123916,83132
31452000,11000,123744,0,7096,123908,83044
34754000,10000,123528,0,7228,123776,77152
37701000,9000,123732,0,7132,123872,98136
40962000,11000,123728,0,7144,123860,78588
44259000,9000,123652,0,7240,123764,70700
47444000,8000,123872,0,6980,124024,52972
50508000,10000,123972,0,7016,124024,55916
53598000,9000,123744,0,7212,123828,86804
56944000,9000,123892,0,7108,123932,89780
60380000,9000,123792,0,7048,123992,74996
63541000,9000,123768,0,7124,123916,53328
66552000,8000,123848,0,7144,123896,71984
69620000,8000,123920,0,6988,124052,83272
72752000,10000,123656,0,7076,123964,83480
76051000,9000,123960,0,7024,124016,79996
79170000,9000,123908,0,6980,124060,80324
82457000,9000,123708,0,7168,123872,61568
85652000,8000,123696,0,7244,123796,51632
88578000,8000,123896,0,7040,124000,56312
91584000,8000,123776,0,7048,123992,79116
94707000,8000,124012,0,6980,124060,84380
97807000,11000,123892,0,7056,123984,80820
101104000,9000,123992,0,6988,124052,83564
104387000,8000,123648,0,7076,123964,68492
107427000,9000,123920,0,7024,124016,60172
110571000,9000,123968,0,6980,124060,47920
113728000,10000,123888,0,7060,123980,59000
116856000,9000,123772,0,7032,124008,77904
120075000,8000,123868,0,7040,124000,87660
123299000,9000,123844,0,7048,123992,91760
126731000,10000,123792,0,7124,123916,65892
129677000,9000,123776,0,7056,123984,54124
132816000,9000,123992,0,6988,124052,58308
136103000,11000,123752,0,7244,123796,77200
139303000,9000,123876,0,7028,124012,79432
142442000,9000,123924,0,6980,124060,81568
145650000,8000,123892,0,7068,123972,81356
148743000,9000,123764,0,7032,124008,80472
151900000,9000,123880,0,7040,124000,76772
155048000,9000,123852,0,7048,123992,80844
158156000,9000,123792,0,7124,123916,65204
161148000,8000,123848,0,7148,123892,65736
164220000,8000,123920,0,6988,124052,53460
167307000,14000,123752,0,7244,123796,58504
170476000,9000,123872,0,7032,124008,85392
173609000,8000,123916,0,6980,124060,80644
176806000,13000,123892,0,7064,123976,82940
180093000,13000,123768,0,7032,124008,72116
183224000,10000,123880,0,7040,124000,63932
186439000,9000,123856,0,7048,123992,50960
