t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
423000,14000,16276,0,16476,16276,15020
657000,12000,16304,0,16408,16344,7428
861000,11000,16436,0,16100,16652,8364
1071000,12000,16652,0,16100,16652,6600
1280000,12000,16396,0,16268,16484,11364
1486000,11000,16284,0,16392,16360,9392
1711000,16000,16156,0,16496,16256,12340
1917000,11000,16144,0,16492,16260,14952
2128000,11000,16072,0,16492,16260,8664
2325000,11000,16164,0,16492,16260,15020
2553000,14000,16204,0,16492,16260,12788
2762000,12000,16096,0,16592,16160,10756
2967000,12000,16156,0,16480,16272,15220
3181000,11000,16292,0,16408,16344,11172
3620000,13000,16436,0,16100,16652,6676
3829000,12000,16436,0,16268,16484,10996
4042000,11000,16312,0,16400,16352,12516
4253000,12000,16312,0,16392,16360,14972
4471000,11000,16188,0,16492,16260,8576
4667000,11000,15984,0,16496,16256,15016
4880000,12000,16088,0,16492,16260,12624
5083000,11000,16164,0,16492,16260,10936
5291000,11000,16008,0,16592,16160,14888
5505000,11000,16068,0,16640,16112,8624
5716000,21000,16368,0,16348,16404,14332
5938000,11000,16476,0,16100,16652,13084
6151000,11000,16556,0,16100,16652,10484
6356000,11000,16304,0,16268,16484,15016
6562000,11000,16296,0,16392,16360,11180
6763000,11000,16300,0,16392,16360,12352
6968000,11000,16156,0,16492,16260,14948
7175000,11000,16192,0,16492,16260,8600
7394000,11000,16212,0,16492,16260,15004
7606000,10000,16156,0,16492,16260,12876
7822000,11000,16008,0,16592,16160,10772
8024000,10000,16068,0,16640,16112,15044
8223000,10000,16128,0,16408,16344,10812
8438000,10000,16436,0,16100,16652,6676
8634000,11000,16436,0,16268,16484,5884
8845000,11000,16312,0,16416,16336,11072
9037000,11000,16324,0,16392,16360,13216
9275000,13000,16188,0,16492,16260,10316
9465000,11000,15984,0,16492,16260,15020
9658000,11000,16088,0,16492,16260,10884
9846000,11000,16160,0,16492,16260,12660
10037000,11000,16008,0,16592,16160,14868
10241000,10000,16080,0,16640,16112,8648
10434000,11000,16368,0,16348,16404,15020
10635000,10000,16476,0,16100,16652,13060
10835000,11000,16552,0,16100,16652,10512
11045000,11000,16304,0,16264,16488,15008
11243000,11000,16292,0,16392,16360,11160
11437000,10000,16300,0,16392,16360,12372
11644000,11000,16148,0,16492,16260,12316
11848000,10000,16184,0,16492,16260,8564
12048000,10000,16212,0,16492,16260,15000
12243000,10000,16160,0,16492,16260,12920
12447000,11000,16008,0,16592,16160,10728
12646000,10000,16068,0,16640,16112,15044
12854000,20000,16128,0,16408,16344,10856
13066000,10000,16436,0,16100,16652,6676
13284000,10000,16440,0,16268,16484,10680
13485000,11000,16312,0,16400,16352,12816
13689000,11000,16312,0,16392,16360,14972
13887000,10000,16188,0,16492,16260,8576
14086000,15000,15984,0,16496,16256,15016
14296000,11000,16088,0,16492,16260,12624
14490000,10000,16164,0,16492,16260,10936
14685000,11000,16008,0,16592,16160,14888
14884000,10000,16068,0,16640,16112,8624
15096000,11000,16368,0,16348,16404,14332
15296000,10000,16476,0,16100,16652,13084
15500000,10000,16556,0,16100,16652,10484
15696000,10000,16304,0,16268,16484,15016
15893000,10000,16296,0,16392,16360,11180
16090000,10000,16300,0,16392,16360,12352
16284000,10000,16156,0,16492,16260,14948
16503000,11000,16192,0,16492,16260,8600
16712000,11000,16212,0,16492,16260,15004
16907000,10000,16156,0,16492,16260,12876
17102000,10000,16008,0,16592,16160,10772
17296000,10000,16068,0,16640,16112,15044
17500000,11000,16128,0,16408,16344,10812
17703000,10000,16436,0,16100,16652,6676
17902000,10000,16436,0,16268,16484,5884
18108000,10000,16312,0,16416,16336,11072
18298000,10000,16324,0,16392,16360,13216
18497000,11000,16188,0,16492,16260,10316
18690000,10000,15984,0,16492,16260,15020
18889000,11000,16088,0,16492,16260,10884
19084000,11000,16160,0,16492,16260,12660
19288000,10000,16008,0,16592,16160,14868
19488000,10000,16080,0,16640,16112,8648
19685000,10000,16368,0,16348,16404,15020
19900000,10000,16476,0,16100,16652,13060
20123000,13000,16552,0,16100,16652,10512
20327000,12000,16304,0,16264,16488,15008
20549000,12000,16292,0,16392,16360,11160
20762000,12000,16300,0,16392,16360,12372
20965000,11000,16148,0,16492,16260,12316
21171000,12000,16184,0,16492,16260,8564
