run_id,timestamp,binary_mtime,collector,budget,workload,seed,exit_code,status,run_ns,mutator_ns,proc_wall_ns,instructions,bytes_allocated,alloc_count,collections,total_pause_ns,pause_mean_ns,pause_max_ns,pause_p99_ns,peak_watermark,peak_live_bytes,bytes_freed_total,bytes_moved_total,exit_status,reason
baseline_churn_b16384_s1,2026-06-19T01:01:53.298309+00:00,1781829402,baseline,16384,churn,1,0,oom,435000,435000,109709833,5445,16232,90,1,0,0,0,0,16240,0,0,0,2,
baseline_churn_b16384_s7,2026-06-19T01:01:53.407289+00:00,1781829402,baseline,16384,churn,7,0,oom,433000,433000,42731333,5649,16248,102,1,0,0,0,0,16256,0,0,0,2,
baseline_churn_b16384_s13,2026-06-19T01:01:53.522302+00:00,1781829402,baseline,16384,churn,13,0,oom,354000,354000,42786292,5379,16324,86,1,0,0,0,0,16332,0,0,0,2,
baseline_churn_b16384_s42,2026-06-19T01:01:53.629912+00:00,1781829402,baseline,16384,churn,42,0,oom,381000,381000,38610667,5631,16312,102,1,0,0,0,0,16320,0,0,0,2,
baseline_churn_b16384_s101,2026-06-19T01:01:53.746391+00:00,1781829402,baseline,16384,churn,101,0,oom,757000,757000,44524042,5607,16208,99,1,0,0,0,0,16216,0,0,0,2,
baseline_churn_b16384_s271,2026-06-19T01:01:53.856144+00:00,1781829402,baseline,16384,churn,271,0,oom,349000,349000,39080250,5421,16260,89,1,0,0,0,0,16268,0,0,0,2,
baseline_churn_b16384_s1009,2026-06-19T01:01:53.960285+00:00,1781829402,baseline,16384,churn,1009,0,oom,348000,348000,38304208,5553,16260,96,1,0,0,0,0,16268,0,0,0,2,
baseline_churn_b16384_s9973,2026-06-19T01:01:54.061821+00:00,1781829402,baseline,16384,churn,9973,0,oom,354000,354000,37134708,5481,16328,93,1,0,0,0,0,16336,0,0,0,2,
baseline_longlived_b16384_s1,2026-06-19T01:01:54.152307+00:00,1781829402,baseline,16384,longlived,1,0,oom,280000,280000,38193125,3578,16332,184,1,0,0,0,0,16340,0,0,0,2,
baseline_longlived_b16384_s7,2026-06-19T01:01:54.241498+00:00,1781829402,baseline,16384,longlived,7,0,oom,319000,319000,37739542,3903,16212,210,1,0,0,0,0,16220,0,0,0,2,
baseline_longlived_b16384_s13,2026-06-19T01:01:54.331098+00:00,1781829402,baseline,16384,longlived,13,0,oom,285000,285000,37795750,3528,16244,180,1,0,0,0,0,16252,0,0,0,2,
baseline_longlived_b16384_s42,2026-06-19T01:01:54.426171+00:00,1781829402,baseline,16384,longlived,42,0,oom,343000,343000,40778875,3878,16320,208,1,0,0,0,0,16328,0,0,0,2,
baseline_longlived_b16384_s101,2026-06-19T01:01:54.529651+00:00,1781829402,baseline,16384,longlived,101,0,oom,324000,324000,43096208,3803,16312,202,1,0,0,0,0,16320,0,0,0,2,
baseline_longlived_b16384_s271,2026-06-19T01:01:54.632477+00:00,1781829402,baseline,16384,longlived,271,0,oom,297000,296000,40050417,3578,16356,184,1,1000,1000,1000,1000,16364,0,0,0,2,
baseline_longlived_b16384_s1009,2026-06-19T01:01:54.726359+00:00,1781829402,baseline,16384,longlived,1009,0,oom,291000,290000,39747833,3753,16256,198,1,1000,1000,1000,1000,16264,0,0,0,2,
baseline_longlived_b16384_s9973,2026-06-19T01:01:54.818059+00:00,1781829402,baseline,16384,longlived,9973,0,oom,295000,294000,39377334,3653,16228,190,1,1000,1000,1000,1000,16236,0,0,0,2,
baseline_mutate_b16384_s1,2026-06-19T01:01:54.925428+00:00,1781829402,baseline,16384,mutate,1,0,oom,817000,817000,38338291,13941,16264,302,1,0,0,0,0,16272,0,0,0,2,
baseline_mutate_b16384_s7,2026-06-19T01:01:55.034163+00:00,1781829402,baseline,16384,mutate,7,0,oom,952000,952000,39686375,16020,16300,316,1,0,0,0,0,16308,0,0,0,2,
baseline_mutate_b16384_s13,2026-06-19T01:01:55.142382+00:00,1781829402,baseline,16384,mutate,13,0,oom,899000,899000,40889875,15615,16296,311,1,0,0,0,0,16304,0,0,0,2,
baseline_mutate_b16384_s42,2026-06-19T01:01:55.251062+00:00,1781829402,baseline,16384,mutate,42,0,oom,871000,871000,39279208,15540,16156,311,1,0,0,0,0,16164,0,0,0,2,
baseline_mutate_b16384_s101,2026-06-19T01:01:55.357822+00:00,1781829402,baseline,16384,mutate,101,0,oom,1004000,1004000,40986583,16201,16304,312,1,0,0,0,0,16312,0,0,0,2,
baseline_mutate_b16384_s271,2026-06-19T01:01:55.465468+00:00,1781829402,baseline,16384,mutate,271,0,oom,1064000,1064000,39709916,18251,16332,321,1,0,0,0,0,16340,0,0,0,2,
