t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
75000,1000,12344,3904,3904,12476,12476
96000,1000,11564,4664,4664,11716,11716
118000,1000,10808,5424,5424,10956,10956
139000,1000,11076,5304,5304,11076,11076
157000,1000,11064,5232,5232,11148,11148
177000,1000,10996,5336,5336,11044,11044
198000,0,11132,5236,5236,11144,11144
216000,2000,11132,5244,5244,11136,11136
234000,1000,11064,5292,5292,11088,11088
256000,1000,11056,5300,5300,11080,11080
274000,1000,10924,5372,5372,11008,11008
293000,1000,10904,5420,5420,10960,10960
314000,1000,10984,5340,5340,11040,11040
333000,1000,10920,5312,5312,11068,11068
352000,1000,10912,5432,5432,10948,10948
372000,1000,11148,5200,5200,11180,11180
392000,1000,10924,5276,5276,11104,11104
411000,1000,11100,5192,5192,11188,11188
432000,1000,11104,5220,5220,11160,11160
452000,1000,11120,5200,5200,11180,11180
469000,1000,10956,5260,5260,11120,11120
490000,1000,11112,5204,5204,11176,11176
510000,1000,11112,5168,5168,11212,11212
530000,0,11064,5232,5232,11148,11148
549000,1000,10996,5336,5336,11044,11044
570000,1000,11132,5236,5236,11144,11144
589000,1000,11132,5244,5244,11136,11136
607000,1000,11064,5292,5292,11088,11088
630000,1000,11056,5300,5300,11080,11080
648000,1000,10924,5372,5372,11008,11008
667000,1000,10904,5420,5420,10960,10960
688000,1000,10984,5340,5340,11040,11040
707000,1000,10920,5312,5312,11068,11068
726000,1000,10912,5432,5432,10948,10948
746000,1000,11148,5200,5200,11180,11180
765000,1000,10924,5276,5276,11104,11104
784000,1000,11100,5192,5192,11188,11188
805000,1000,11104,5220,5220,11160,11160
825000,1000,11120,5200,5200,11180,11180
844000,1000,10956,5260,5260,11120,11120
864000,1000,11112,5204,5204,11176,11176
884000,1000,11112,5168,5168,11212,11212
903000,1000,11064,5232,5232,11148,11148
923000,1000,10996,5336,5336,11044,11044
943000,1000,11132,5236,5236,11144,11144
962000,1000,11132,5244,5244,11136,11136
981000,1000,11064,5292,5292,11088,11088
1004000,1000,11056,5300,5300,11080,11080
1023000,0,10924,5372,5372,11008,11008
1042000,1000,10904,5420,5420,10960,10960
1063000,1000,10984,5340,5340,11040,11040
1082000,1000,10920,5312,5312,11068,11068
1102000,1000,10912,5432,5432,10948,10948
1123000,1000,11148,5200,5200,11180,11180
1143000,1000,10924,5276,5276,11104,11104
1162000,1000,11100,5192,5192,11188,11188
