t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
1498000,5000,58808,6712,6712,58820,58820
2850000,2000,58848,6560,6560,58972,58972
4168000,3000,58808,6596,6596,58936,58936
5488000,3000,58788,6688,6688,58844,58844
6796000,3000,58844,6616,6616,58916,58916
8098000,3000,58724,6620,6620,58912,58912
9505000,3000,58992,6524,6524,59008,59008
10967000,3000,58752,6552,6552,58980,58980
12246000,2000,58980,6468,6468,59064,59064
13539000,3000,58640,6724,6724,58808,58808
14806000,2000,58800,6576,6576,58956,58956
16116000,2000,58764,6644,6644,58888,58888
17424000,2000,58856,6620,6620,58912,58912
18759000,4000,58776,6696,6696,58836,58836
20116000,3000,58632,6680,6680,58852,58852
21505000,3000,58732,6704,6704,58828,58828
22847000,2000,58744,6684,6684,58848,58848
24150000,2000,58968,6468,6468,59064,59064
25461000,3000,58776,6604,6604,58928,58928
26770000,3000,58812,6544,6544,58988,58988
28078000,2000,58880,6616,6616,58916,58916
29468000,2000,58844,6628,6628,58904,58904
30805000,2000,58968,6524,6524,59008,59008
32162000,2000,58900,6588,6588,58944,58944
33484000,2000,58816,6636,6636,58896,58896
34811000,3000,58800,6712,6712,58820,58820
36135000,2000,58744,6568,6568,58964,58964
37444000,2000,58740,6648,6648,58884,58884
38757000,2000,58852,6616,6616,58916,58916
40073000,2000,58896,6548,6548,58984,58984
41415000,4000,58656,6712,6712,58820,58820
42754000,3000,58656,6728,6728,58804,58804
44085000,2000,58868,6660,6660,58872,58872
45449000,2000,58800,6660,6660,58872,58872
46790000,3000,58988,6496,6496,59036,59036
48117000,2000,58664,6664,6664,58868,58868
49454000,2000,58784,6584,6584,58948,58948
50782000,2000,58744,6704,6704,58828,58828
52200000,3000,58556,6720,6720,58812,58812
53547000,3000,58896,6492,6492,59040,59040
54864000,3000,58700,6728,6728,58804,58804
56165000,2000,58864,6652,6652,58880,58880
57479000,3000,58656,6712,6712,58820,58820
58827000,3000,58652,6708,6708,58824,58824
60257000,3000,58920,6604,6604,58928,58928
61568000,9000,58788,6588,6588,58944,58944
62955000,2000,58816,6636,6636,58896,58896
64264000,3000,58800,6712,6712,58820,58820
65574000,2000,58744,6568,6568,58964,58964
66878000,2000,58740,6648,6648,58884,58884
68183000,2000,58852,6616,6616,58916,58916
69486000,2000,58896,6548,6548,58984,58984
70790000,2000,58656,6712,6712,58820,58820
72097000,2000,58656,6728,6728,58804,58804
73401000,2000,58868,6660,6660,58872,58872
74705000,2000,58800,6660,6660,58872,58872
76010000,2000,58988,6496,6496,59036,59036
77314000,2000,58664,6664,6664,58868,58868
78617000,2000,58784,6584,6584,58948,58948
79921000,3000,58744,6704,6704,58828,58828
81243000,2000,58556,6720,6720,58812,58812
82565000,2000,58896,6492,6492,59040,59040
83871000,3000,58700,6728,6728,58804,58804
85177000,2000,58864,6652,6652,58880,58880
86480000,2000,58656,6712,6712,58820,58820
87791000,2000,58652,6708,6708,58824,58824
89094000,3000,58920,6604,6604,58928,58928
90412000,2000,58788,6588,6588,58944,58944
91735000,3000,58816,6636,6636,58896,58896
93141000,3000,58800,6712,6712,58820,58820
94465000,3000,58744,6568,6568,58964,58964
95749000,2000,58740,6648,6648,58884,58884
97019000,2000,58852,6616,6616,58916,58916
98345000,2000,58896,6548,6548,58984,58984
99647000,3000,58656,6712,6712,58820,58820
100949000,3000,58656,6728,6728,58804,58804
102255000,2000,58868,6660,6660,58872,58872
103600000,2000,58800,6660,6660,58872,58872
104926000,3000,58988,6496,6496,59036,59036
106255000,2000,58664,6664,6664,58868,58868
107578000,3000,58784,6584,6584,58948,58948
108982000,3000,58744,6704,6704,58828,58828
110356000,2000,58556,6720,6720,58812,58812
111688000,2000,58896,6492,6492,59040,59040
113082000,4000,58700,6728,6728,58804,58804
114420000,3000,58864,6652,6652,58880,58880
115743000,3000,58656,6712,6712,58820,58820
117063000,3000,58652,6708,6708,58824,58824
118399000,2000,58920,6604,6604,58928,58928
119743000,2000,58788,6588,6588,58944,58944
121080000,2000,58816,6636,6636,58896,58896
122664000,3000,58800,6712,6712,58820,58820
124045000,3000,58744,6568,6568,58964,58964
125399000,3000,58740,6648,6648,58884,58884
126755000,2000,58852,6616,6616,58916,58916
128124000,3000,58896,6548,6548,58984,58984
129758000,3000,58656,6712,6712,58820,58820
131117000,3000,58656,6728,6728,58804,58804
132456000,3000,58868,6660,6660,58872,58872
133801000,2000,58800,6660,6660,58872,58872
135125000,2000,58988,6496,6496,59036,59036
136460000,3000,58664,6664,6664,58868,58868
137811000,2000,58784,6584,6584,58948,58948
139288000,3000,58744,6704,6704,58828,58828
140608000,3000,58556,6720,6720,58812,58812
141928000,2000,58896,6492,6492,59040,59040
143259000,5000,58700,6728,6728,58804,58804
144532000,3000,58864,6652,6652,58880,58880
145830000,2000,58656,6712,6712,58820,58820
147177000,2000,58652,6708,6708,58824,58824
148492000,3000,58920,6604,6604,58928,58928
149797000,2000,58788,6588,6588,58944,58944
151104000,2000,58816,6636,6636,58896,58896
152411000,3000,58800,6712,6712,58820,58820
153734000,3000,58744,6568,6568,58964,58964
155468000,3000,58740,6648,6648,58884,58884
156793000,2000,58852,6616,6616,58916,58916
158102000,2000,58896,6548,6548,58984,58984
159411000,2000,58656,6712,6712,58820,58820
160715000,2000,58656,6728,6728,58804,58804
162018000,3000,58868,6660,6660,58872,58872
163328000,2000,58800,6660,6660,58872,58872
