t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
150000,18000,23284,42124,42124,23408,23408
198000,15000,23260,42260,42260,23272,23272
240000,15000,23124,42244,42244,23288,23288
282000,15000,23060,42280,42280,23252,23252
324000,15000,23136,42276,42276,23256,23256
366000,15000,23248,42156,42156,23376,23376
408000,15000,23040,42328,42328,23204,23204
450000,15000,23116,42324,42324,23208,23208
492000,14000,23304,42128,42128,23404,23404
535000,15000,23184,42320,42320,23212,23212
577000,14000,23056,42268,42268,23264,23264
618000,15000,23348,42164,42164,23368,23368
661000,15000,23280,42204,42204,23328,23328
703000,14000,23272,42152,42152,23380,23380
745000,15000,23344,42104,42104,23428,23428
788000,14000,23156,42232,42232,23300,23300
829000,14000,23180,42188,42188,23344,23344
872000,15000,23284,42212,42212,23320,23320
914000,15000,23320,42108,42108,23424,23424
957000,15000,23212,42312,42312,23220,23220
1001000,15000,23272,42220,42220,23312,23312
1043000,15000,23388,42132,42132,23400,23400
1087000,14000,23164,42220,42220,23312,23312
1129000,15000,23172,42288,42288,23244,23244
1171000,15000,23316,42172,42172,23360,23360
1214000,14000,23344,42176,42176,23356,23356
1256000,15000,23332,42188,42188,23344,23344
1298000,15000,23096,42252,42252,23280,23280
1342000,15000,23112,42292,42292,23240,23240
1385000,15000,23248,42236,42236,23296,23296
1427000,14000,23300,42212,42212,23320,23320
1467000,14000,23156,42248,42248,23284,23284
1508000,13000,23376,42144,42144,23388,23388
1548000,14000,23016,42324,42324,23208,23208
1590000,13000,23268,42192,42192,23340,23340
1629000,14000,23284,42124,42124,23408,23408
1671000,16000,23260,42260,42260,23272,23272
1719000,15000,23124,42244,42244,23288,23288
1761000,14000,23060,42280,42280,23252,23252
1804000,14000,23136,42276,42276,23256,23256
1846000,14000,23248,42156,42156,23376,23376
1888000,15000,23040,42328,42328,23204,23204
1931000,14000,23116,42324,42324,23208,23208
1973000,15000,23304,42128,42128,23404,23404
2017000,14000,23184,42320,42320,23212,23212
2059000,14000,23056,42268,42268,23264,23264
2101000,14000,23348,42164,42164,23368,23368
2144000,14000,23280,42204,42204,23328,23328
2186000,14000,23272,42152,42152,23380,23380
2228000,15000,23344,42104,42104,23428,23428
2272000,14000,23156,42232,42232,23300,23300
2311000,14000,23180,42188,42188,23344,23344
2352000,14000,23284,42212,42212,23320,23320
2393000,14000,23320,42108,42108,23424,23424
2433000,14000,23212,42312,42312,23220,23220
2474000,14000,23272,42220,42220,23312,23312
2514000,14000,23388,42132,42132,23400,23400
2561000,16000,23164,42220,42220,23312,23312
2605000,15000,23172,42288,42288,23244,23244
2647000,15000,23316,42172,42172,23360,23360
2690000,15000,23344,42176,42176,23356,23356
2836000,15000,23332,42188,42188,23344,23344
2879000,15000,23096,42252,42252,23280,23280
2922000,15000,23112,42292,42292,23240,23240
2965000,15000,23248,42236,42236,23296,23296
3011000,15000,23300,42212,42212,23320,23320
3053000,15000,23156,42248,42248,23284,23284
3096000,14000,23376,42144,42144,23388,23388
3138000,15000,23016,42324,42324,23208,23208
3181000,14000,23268,42192,42192,23340,23340
3222000,14000,23284,42124,42124,23408,23408
3270000,14000,23260,42260,42260,23272,23272
3312000,15000,23124,42244,42244,23288,23288
3353000,15000,23060,42280,42280,23252,23252
3395000,15000,23136,42276,42276,23256,23256
3438000,14000,23248,42156,42156,23376,23376
3480000,15000,23040,42328,42328,23204,23204
3522000,15000,23116,42324,42324,23208,23208
3564000,15000,23304,42128,42128,23404,23404
3607000,15000,23184,42320,42320,23212,23212
3649000,15000,23056,42268,42268,23264,23264
3691000,15000,23348,42164,42164,23368,23368
3734000,15000,23280,42204,42204,23328,23328
3777000,14000,23272,42152,42152,23380,23380
3863000,23000,23344,42104,42104,23428,23428
3915000,15000,23156,42232,42232,23300,23300
3957000,15000,23180,42188,42188,23344,23344
4001000,15000,23284,42212,42212,23320,23320
4070000,15000,23320,42108,42108,23424,23424
4112000,15000,23212,42312,42312,23220,23220
4156000,14000,23272,42220,42220,23312,23312
4197000,15000,23388,42132,42132,23400,23400
4243000,14000,23164,42220,42220,23312,23312
4285000,15000,23172,42288,42288,23244,23244
4327000,15000,23316,42172,42172,23360,23360
4369000,14000,23344,42176,42176,23356,23356
4410000,14000,23332,42188,42188,23344,23344
4451000,14000,23096,42252,42252,23280,23280
4493000,14000,23112,42292,42292,23240,23240
4534000,14000,23248,42236,42236,23296,23296
4575000,14000,23300,42212,42212,23320,23320
4616000,15000,23156,42248,42248,23284,23284
4657000,14000,23376,42144,42144,23388,23388
4698000,14000,23016,42324,42324,23208,23208
4737000,14000,23268,42192,42192,23340,23340
4775000,14000,23284,42124,42124,23408,23408
4816000,14000,23260,42260,42260,23272,23272
4855000,14000,23124,42244,42244,23288,23288
4894000,13000,23060,42280,42280,23252,23252
4933000,14000,23136,42276,42276,23256,23256
4972000,14000,23248,42156,42156,23376,23376
5012000,13000,23040,42328,42328,23204,23204
