t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
412000,15000,16440,16184,16184,16580,16580
614000,10000,16320,16260,16260,16504,16504
811000,10000,16480,16260,16260,16504,16504
1017000,11000,16404,16260,16260,16504,16504
1202000,9000,16408,16260,16260,16504,16504
1393000,10000,16436,16260,16260,16504,16504
1585000,10000,16500,16260,16260,16504,16504
1777000,9000,16488,16260,16260,16504,16504
1966000,10000,16484,16236,16236,16528,16528
2161000,10000,16392,16236,16236,16528,16528
2348000,9000,16272,16392,16392,16372,16372
2531000,12000,16192,16392,16392,16372,16372
2730000,10000,16192,16392,16392,16372,16372
2981000,63000,16192,16392,16392,16372,16372
3230000,11000,16192,16392,16392,16372,16372
3425000,11000,16192,16392,16392,16372,16372
3615000,9000,16192,16392,16392,16372,16372
3796000,10000,16192,16392,16392,16372,16372
3978000,9000,16192,16392,16392,16372,16372
4159000,10000,16192,16392,16392,16372,16372
4357000,10000,16192,16392,16392,16372,16372
4554000,10000,16192,16392,16392,16372,16372
4750000,10000,16192,16392,16392,16372,16372
4941000,11000,16192,16392,16392,16372,16372
5137000,11000,16192,16392,16392,16372,16372
5333000,10000,16192,16392,16392,16372,16372
5528000,10000,16192,16392,16392,16372,16372
5716000,10000,16192,16392,16392,16372,16372
5905000,10000,16192,16392,16392,16372,16372
6094000,10000,16192,16392,16392,16372,16372
6283000,10000,16192,16392,16392,16372,16372
6472000,10000,16192,16392,16392,16372,16372
6668000,9000,16192,16392,16392,16372,16372
6856000,10000,16192,16392,16392,16372,16372
7046000,10000,16192,16392,16392,16372,16372
7236000,10000,16192,16392,16392,16372,16372
7431000,10000,16192,16392,16392,16372,16372
7626000,10000,16192,16392,16392,16372,16372
7820000,9000,16192,16392,16392,16372,16372
8008000,9000,16192,16392,16392,16372,16372
8190000,9000,16192,16392,16392,16372,16372
8371000,9000,16192,16392,16392,16372,16372
8553000,9000,16192,16392,16392,16372,16372
8734000,10000,16192,16392,16392,16372,16372
8930000,13000,16192,16392,16392,16372,16372
9130000,10000,16192,16392,16392,16372,16372
9344000,11000,16192,16392,16392,16372,16372
9541000,10000,16192,16392,16392,16372,16372
9736000,10000,16192,16392,16392,16372,16372
9931000,10000,16192,16392,16392,16372,16372
10126000,10000,16192,16392,16392,16372,16372
10322000,10000,16192,16392,16392,16372,16372
10517000,10000,16192,16392,16392,16372,16372
10712000,10000,16192,16392,16392,16372,16372
10907000,10000,16192,16392,16392,16372,16372
11102000,10000,16192,16392,16392,16372,16372
11298000,10000,16192,16392,16392,16372,16372
11494000,13000,16192,16392,16392,16372,16372
11691000,10000,16192,16392,16392,16372,16372
11886000,11000,16192,16392,16392,16372,16372
12076000,10000,16192,16392,16392,16372,16372
12282000,17000,16192,16392,16392,16372,16372
12477000,10000,16192,16392,16392,16372,16372
12678000,15000,16192,16392,16392,16372,16372
12877000,10000,16192,16392,16392,16372,16372
13076000,10000,16192,16392,16392,16372,16372
13271000,10000,16192,16392,16392,16372,16372
13467000,10000,16192,16392,16392,16372,16372
13659000,10000,16192,16392,16392,16372,16372
13861000,12000,16192,16392,16392,16372,16372
14066000,10000,16192,16392,16392,16372,16372
14261000,10000,16192,16392,16392,16372,16372
14462000,10000,16192,16392,16392,16372,16372
14651000,10000,16192,16392,16392,16372,16372
14835000,9000,16192,16392,16392,16372,16372
15017000,10000,16192,16392,16392,16372,16372
15199000,10000,16192,16392,16392,16372,16372
15380000,10000,16192,16392,16392,16372,16372
15561000,10000,16192,16392,16392,16372,16372
15743000,9000,16192,16392,16392,16372,16372
15925000,9000,16192,16392,16392,16372,16372
16106000,10000,16192,16392,16392,16372,16372
16288000,9000,16192,16392,16392,16372,16372
16469000,10000,16192,16392,16392,16372,16372
16652000,10000,16192,16392,16392,16372,16372
16834000,9000,16192,16392,16392,16372,16372
17017000,9000,16192,16392,16392,16372,16372
17207000,10000,16192,16392,16392,16372,16372
17389000,9000,16192,16392,16392,16372,16372
17570000,10000,16192,16392,16392,16372,16372
17752000,9000,16192,16392,16392,16372,16372
17933000,9000,16192,16392,16392,16372,16372
18114000,10000,16192,16392,16392,16372,16372
18296000,9000,16192,16392,16392,16372,16372
18477000,9000,16192,16392,16392,16372,16372
18657000,10000,16192,16392,16392,16372,16372
18839000,10000,16192,16392,16392,16372,16372
