t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
58000,2000,448,3460,3460,12916,12916
70000,1000,3668,376,3836,12540,12540
78000,1000,3820,220,4056,12320,12320
85000,1000,3520,396,4452,11924,11924
93000,0,3864,228,4680,11696,11696
100000,1000,3696,284,4964,11412,11412
107000,1000,3828,148,5112,11264,11264
115000,1000,3648,372,5484,10892,10892
124000,1000,3372,596,6080,10296,10296
131000,1000,3764,332,6412,9964,9964
139000,1000,3792,188,6600,9776,9776
147000,0,3900,160,6760,9616,9616
153000,1000,3456,424,7184,9192,9192
161000,0,3904,32,7216,9160,9160
168000,0,3516,536,7752,8624,8624
175000,0,3832,244,7996,8380,8380
183000,1000,3764,192,8188,8188,8188
191000,1000,3500,484,8672,7704,7704
198000,6000,11276,1624,4984,11392,11392
213000,1000,5084,448,5432,10944,10944
224000,3000,11144,1736,5096,11280,11280
236000,3000,11352,1660,5020,11356,11356
249000,1000,4944,512,5532,10844,10844
259000,3000,11268,1648,5008,11368,11368
272000,1000,4908,532,5540,10836,10836
282000,3000,11276,1648,5008,11368,11368
294000,3000,11256,1752,5112,11264,11264
306000,0,5008,424,5536,10840,10840
315000,3000,11144,1752,5112,11264,11264
327000,0,5040,468,5580,10796,10796
342000,3000,11348,1640,5000,11376,11376
355000,1000,5160,500,5500,10876,10876
365000,3000,11284,1628,4988,11388,11388
378000,0,5192,388,5376,11000,11000
387000,3000,11136,1700,5060,11316,11316
399000,0,4928,680,5740,10636,10636
408000,7000,11120,1756,5116,11260,11260
425000,1000,5032,540,5656,10720,10720
435000,3000,11100,1808,5168,11208,11208
447000,1000,5084,364,5532,10844,10844
461000,3000,11248,1716,5076,11300,11300
473000,3000,11420,1580,4940,11436,11436
485000,0,5084,472,5412,10964,10964
495000,3000,11368,1548,4908,11468,11468
508000,1000,5172,460,5368,11008,11008
518000,3000,11180,1696,5056,11320,11320
534000,3000,11284,1724,5084,11292,11292
546000,3000,11312,1704,5064,11312,11312
558000,0,4832,600,5664,10712,10712
567000,3000,11312,1600,4960,11416,11416
580000,1000,5264,416,5376,11000,11000
591000,3000,11356,1584,4944,11432,11432
603000,1000,5556,140,5084,11292,11292
613000,3000,11280,1736,5096,11280,11280
624000,1000,5060,456,5552,10824,10824
634000,3000,11176,1656,5016,11360,11360
646000,1000,5580,24,5040,11336,11336
657000,1000,5012,612,5652,10724,10724
667000,3000,11356,1608,4968,11408,11408
679000,1000,5312,220,5188,11188,11188
689000,2000,11172,1780,5140,11236,11236
701000,3000,11432,1576,4936,11440,11440
712000,1000,5244,396,5332,11044,11044
723000,3000,11144,1748,5108,11268,11268
735000,1000,4912,624,5732,10644,10644
747000,3000,11152,1788,5148,11228,11228
760000,2000,11296,1708,5068,11308,11308
775000,0,5284,312,5380,10996,10996
783000,3000,11072,1756,5116,11260,11260
796000,0,5528,80,5196,11180,11180
806000,0,4828,584,5780,10596,10596
815000,3000,11044,1804,5164,11212,11212
828000,0,5148,440,5604,10772,10772
837000,3000,11164,1620,4980,11396,11396
848000,3000,11276,1736,5096,11280,11280
861000,1000,5068,512,5608,10768,10768
871000,3000,11248,1708,5068,11308,11308
884000,1000,5004,620,5688,10688,10688
894000,3000,11288,1640,5000,11376,11376
906000,1000,5252,320,5320,11056,11056
916000,2000,11192,1772,5132,11244,11244
928000,0,5080,432,5564,10812,10812
936000,3000,11100,1800,5160,11216,11216
949000,3000,11372,1640,5000,11376,11376
962000,1000,5160,500,5500,10876,10876
973000,2000,11284,1628,4988,11388,11388
985000,0,5192,388,5376,11000,11000
994000,2000,11136,1700,5060,11316,11316
1005000,1000,4928,680,5740,10636,10636
1015000,3000,11120,1756,5116,11260,11260
1028000,0,5032,540,5656,10720,10720
