t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
335000,7000,10468,5724,5724,59804,59804
699000,3000,15360,1020,6744,58784,58784
1083000,2000,15652,600,7344,58184,58184
1469000,3000,15264,964,8308,57220,57220
1829000,3000,15344,1008,9316,56212,56212
2204000,1000,15908,460,9776,55752,55752
2589000,3000,15592,760,10536,54992,54992
2950000,2000,15636,668,11204,54324,54324
3313000,2000,15168,1076,12280,53248,53248
3675000,2000,15612,772,13052,52476,52476
4041000,2000,15168,1052,14104,51424,51424
4413000,2000,15404,952,15056,50472,50472
4772000,2000,15608,620,15676,49852,49852
5132000,2000,15712,600,16276,49252,49252
5499000,3000,15668,640,16916,48612,48612
5877000,3000,15508,824,17740,47788,47788
6240000,3000,15500,804,18544,46984,46984
6617000,3000,15404,944,19488,46040,46040
7003000,3000,15424,796,20284,45244,45244
7372000,3000,15240,976,21260,44268,44268
7740000,2000,15660,612,21872,43656,43656
8131000,3000,15676,620,22492,43036,43036
8528000,2000,15268,940,23432,42096,42096
8925000,3000,15288,956,24388,41140,41140
9305000,3000,15428,916,25304,40224,40224
9678000,2000,15608,624,25928,39600,39600
10041000,3000,15224,960,26888,38640,38640
10411000,3000,15396,968,27856,37672,37672
10778000,2000,15928,428,28284,37244,37244
11147000,2000,15256,1076,29360,36168,36168
11513000,2000,15616,632,29992,35536,35536
11900000,3000,15204,1056,31048,34480,34480
12281000,2000,15540,820,31868,33660,33660
12653000,3000,15036,1144,33012,32516,32516
13029000,27000,58368,1700,7124,58404,58404
13728000,4000,28112,1064,8188,57340,57340
14403000,10000,58432,1564,6988,58540,58540
15087000,6000,28116,1016,8004,57524,57524
15765000,8000,58440,1592,7016,58512,58512
16461000,8000,58504,1596,7020,58508,58508
17173000,5000,27736,1480,8500,57028,57028
17868000,9000,58256,1820,7244,58284,58284
18536000,4000,27580,1448,8692,56836,56836
19173000,8000,58152,1812,7236,58292,58292
19816000,3000,28028,1060,8296,57232,57232
20480000,8000,58292,1696,7120,58408,58408
21148000,4000,27748,1332,8452,57076,57076
21841000,10000,58456,1616,7040,58488,58488
22577000,7000,27852,1364,8404,57124,57124
23283000,10000,58316,1624,7048,58480,58480
23952000,3000,28080,1140,8188,57340,57340
24620000,9000,58424,1628,7052,58476,58476
25312000,5000,27624,1548,8600,56928,56928
25998000,8000,58464,1616,7040,58488,58488
26689000,5000,27760,1404,8444,57084,57084
27379000,9000,58308,1792,7216,58312,58312
28070000,4000,27660,1452,8668,56860,56860
28732000,8000,58312,1728,7152,58376,58376
29390000,5000,27340,1600,8752,56776,56776
30067000,8000,58428,1556,6980,58548,58548
30726000,4000,27912,1336,8316,57212,57212
31386000,8000,58324,1752,7176,58352,58352
32031000,4000,27884,1136,8312,57216,57216
32689000,7000,58276,1744,7168,58360,58360
33355000,8000,27840,1248,8416,57112,57112
34033000,9000,58304,1780,7204,58324,58324
34703000,4000,27896,1220,8424,57104,57104
35369000,8000,58512,1556,6980,58548,58548
36040000,3000,28188,996,7976,57552,57552
36708000,8000,58228,1764,7188,58340,58340
37417000,4000,27688,1424,8612,56916,56916
38094000,7000,58308,1776,7200,58328,58328
38791000,5000,27688,1436,8636,56892,56892
39473000,8000,58444,1656,7080,58448,58448
40154000,5000,27436,1624,8704,56824,56824
40893000,10000,58276,1764,7188,58340,58340
41552000,5000,27640,1480,8668,56860,56860
42192000,9000,58140,1820,7244,58284,58284
42842000,4000,27216,1776,9020,56508,56508
43527000,13000,58164,1744,7168,58360,58360
44216000,4000,27416,1596,8764,56764,56764
44886000,8000,58424,1556,6980,58548,58548
45569000,3000,27964,1216,8196,57332,57332
46258000,8000,58372,1684,7108,58420,58420
46984000,4000,27732,1332,8440,57088,57088
47669000,8000,58204,1780,7204,58324,58324
48343000,4000,28128,968,8172,57356,57356
49021000,7000,58420,1588,7012,58516,58516
49709000,4000,27788,1444,8456,57072,57072
50402000,8000,58248,1792,7216,58312,58312
51080000,4000,27688,1312,8528,57000,57000
51805000,8000,58408,1580,7004,58524,58524
