t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
103000,234000,0,32748,32748,98316,98316
388000,55000,22592,10160,42908,88156,88156
481000,1000,32452,156,43064,88000,88000
520000,1000,32684,40,43104,87960,87960
560000,1000,32508,232,43336,87728,87728
599000,1000,32484,212,43548,87516,87516
638000,1000,32320,264,43812,87252,87252
686000,1000,32440,232,44044,87020,87020
726000,0,32604,68,44112,86952,86952
764000,1000,32460,156,44268,86796,86796
804000,0,32608,112,44380,86684,86684
843000,0,32488,92,44472,86592,86592
882000,1000,32620,32,44504,86560,86560
921000,1000,32496,236,44740,86324,86324
960000,1000,32544,32,44772,86292,86292
1001000,1000,32492,144,44916,86148,86148
1041000,1000,32580,144,45060,86004,86004
1080000,1000,32528,140,45200,85864,85864
1129000,1000,32700,40,45240,85824,85824
1168000,1000,32708,48,45288,85776,85776
1207000,1000,32452,208,45496,85568,85568
1247000,1000,32644,116,45612,85452,85452
1286000,1000,32680,40,45652,85412,85412
1325000,1000,32548,216,45868,85196,85196
1364000,1000,32588,108,45976,85088,85088
1403000,1000,32584,128,46104,84960,84960
1443000,1000,32616,84,46188,84876,84876
1482000,1000,32536,92,46280,84784,84784
1521000,1000,32528,112,46392,84672,84672
1561000,0,32512,64,46456,84608,84608
1599000,1000,32488,164,46620,84444,84444
1639000,1000,32468,244,46864,84200,84200
1678000,1000,32548,28,46892,84172,84172
1722000,1000,32592,116,47008,84056,84056
1761000,1000,32456,192,47200,83864,83864
1801000,1000,32684,56,47256,83808,83808
1840000,1000,32532,184,47440,83624,83624
1879000,0,32400,132,47572,83492,83492
1917000,1000,32632,72,47644,83420,83420
1956000,0,32516,68,47712,83352,83352
1995000,1000,32340,232,47944,83120,83120
2035000,0,32460,264,48208,82856,82856
2074000,0,32456,160,48368,82696,82696
2113000,0,32596,92,48460,82604,82604
2151000,1000,32448,192,48652,82412,82412
2190000,1000,32468,172,48824,82240,82240
2238000,1000,32480,260,49084,81980,81980
2278000,0,32420,240,49324,81740,81740
2317000,1000,32552,44,49368,81696,81696
2357000,0,32592,60,49428,81636,81636
2396000,0,32472,188,49616,81448,81448
2435000,1000,32644,100,49716,81348,81348
2474000,1000,32608,112,49828,81236,81236
2513000,0,32476,100,49928,81136,81136
2552000,1000,32508,228,50156,80908,80908
2591000,1000,32312,248,50404,80660,80660
2634000,1000,32440,76,50480,80584,80584
2673000,1000,32448,240,50720,80344,80344
2717000,0,32448,208,50928,80136,80136
2760000,1000,32488,264,51192,79872,79872
2799000,1000,32508,168,51360,79704,79704
2838000,0,32448,152,51512,79552,79552
2877000,0,32588,108,51620,79444,79444
2916000,1000,32724,36,51656,79408,79408
2955000,1000,32496,128,51784,79280,79280
2996000,0,32472,256,52040,79024,79024
3035000,1000,32724,44,52084,78980,78980
3075000,1000,32620,128,52212,78852,78852
3114000,1000,32676,36,52248,78816,78816
3156000,0,32624,68,52316,78748,78748
3195000,1000,32452,232,52548,78516,78516
3238000,0,32596,68,52616,78448,78448
3277000,1000,32536,156,52772,78292,78292
3320000,0,32644,76,52848,78216,78216
3359000,0,32612,144,52992,78072,78072
3398000,1000,32540,192,53184,77880,77880
3436000,1000,32468,172,53356,77708,77708
3475000,0,32480,260,53616,77448,77448
3515000,0,32420,240,53856,77208,77208
3553000,1000,32552,44,53900,77164,77164
3596000,1000,32592,60,53960,77104,77104
3635000,1000,32472,188,54148,76916,76916
3685000,1000,32644,100,54248,76816,76816
3725000,1000,32608,112,54360,76704,76704
3763000,1000,32476,100,54460,76604,76604
3802000,1000,32508,228,54688,76376,76376
3841000,1000,32312,248,54936,76128,76128
3884000,0,32440,76,55012,76052,76052
3923000,1000,32448,240,55252,75812,75812
3972000,0,32448,208,55460,75604,75604
4015000,1000,32488,264,55724,75340,75340
4060000,1000,32508,168,55892,75172,75172
4099000,1000,32448,152,56044,75020,75020
4146000,1000,32588,108,56152,74912,74912
4189000,1000,32724,36,56188,74876,74876
4232000,1000,32496,128,56316,74748,74748
4271000,1000,32472,256,56572,74492,74492
4311000,1000,32724,44,56616,74448,74448
4350000,1000,32620,128,56744,74320,74320
4389000,1000,32676,36,56780,74284,74284
4428000,1000,32624,68,56848,74216,74216
4467000,1000,32452,232,57080,73984,73984
4507000,0,32596,68,57148,73916,73916
4554000,1000,32536,156,57304,73760,73760
4593000,1000,32644,76,57380,73684,73684
4632000,1000,32612,144,57524,73540,73540
4672000,0,32540,192,57716,73348,73348
4710000,1000,32468,172,57888,73176,73176
4758000,1000,32480,260,58148,72916,72916
4798000,0,32420,240,58388,72676,72676
4836000,1000,32552,44,58432,72632,72632
4875000,1000,32592,60,58492,72572,72572
4914000,1000,32472,188,58680,72384,72384
4953000,1000,32644,100,58780,72284,72284
4992000,1000,32608,112,58892,72172,72172
5030000,1000,32476,100,58992,72072,72072
5069000,1000,32508,228,59220,71844,71844
5108000,1000,32312,248,59468,71596,71596
5147000,0,32440,76,59544,71520,71520
5186000,1000,32448,240,59784,71280,71280
5225000,1000,32448,208,59992,71072,71072
5264000,1000,32488,264,60256,70808,70808
5303000,1000,32508,168,60424,70640,70640
5341000,1000,32448,152,60576,70488,70488
5380000,1000,32588,108,60684,70380,70380
5419000,1000,32724,36,60720,70344,70344
5458000,1000,32496,128,60848,70216,70216
5497000,1000,32472,256,61104,69960,69960
5537000,1000,32724,44,61148,69916,69916
5577000,0,32620,128,61276,69788,69788
5615000,1000,32676,36,61312,69752,69752
5654000,1000,32624,68,61380,69684,69684
5693000,0,32452,232,61612,69452,69452
5732000,1000,32596,68,61680,69384,69384
5772000,0,32536,156,61836,69228,69228
5811000,1000,32644,76,61912,69152,69152
5850000,1000,32612,144,62056,69008,69008
5889000,1000,32540,192,62248,68816,68816
5928000,0,32468,172,62420,68644,68644
5966000,1000,32480,260,62680,68384,68384
6006000,1000,32420,240,62920,68144,68144
6044000,1000,32552,44,62964,68100,68100
6084000,0,32592,60,63024,68040,68040
6123000,0,32472,188,63212,67852,67852
6162000,0,32644,100,63312,67752,67752
6201000,1000,32608,112,63424,67640,67640
6239000,1000,32476,100,63524,67540,67540
6278000,0,32508,228,63752,67312,67312
6317000,1000,32312,248,64000,67064,67064
6356000,0,32440,76,64076,66988,66988
6395000,0,32448,240,64316,66748,66748
6433000,1000,32448,208,64524,66540,66540
6472000,1000,32488,264,64788,66276,66276
6511000,1000,32508,168,64956,66108,66108
6549000,1000,32448,152,65108,65956,65956
6589000,1000,32588,108,65216,65848,65848
6629000,1000,32724,36,65252,65812,65812
6672000,0,32496,128,65380,65684,65684
6711000,1000,32472,256,65636,65428,65428
6752000,41000,88368,9932,42696,88368,88368
6847000,1000,43944,200,42896,88168,88168
6901000,32000,88156,188,42840,88224,88224
6985000,1000,43968,40,42880,88184,88184
7036000,32000,88288,96,42748,88316,88316
7120000,1000,44016,48,42796,88268,88268
7172000,31000,88220,160,42812,88252,88252
7256000,0,43896,168,42980,88084,88084
7319000,33000,88344,60,42712,88352,88352
7413000,1000,44056,40,42752,88312,88312
7475000,33000,88244,148,42800,88264,88264
7567000,1000,43876,112,42912,88152,88152
7627000,32000,88168,172,42824,88240,88240
7712000,32000,88292,116,42768,88296,88296
7798000,1000,44016,64,42832,88232,88232
7851000,31000,88220,184,42836,88228,88228
7936000,35000,88336,60,42712,88352,88352
8030000,0,44016,92,42804,88260,88260
8084000,32000,88308,52,42704,88360,88360
8169000,1000,44060,44,42748,88316,88316
8222000,30000,88324,68,42720,88344,88344
8304000,1000,44044,100,42820,88244,88244
8357000,32000,88348,48,42700,88364,88364
8440000,0,43744,208,42908,88156,88156
8492000,31000,88268,60,42712,88352,88352
8575000,1000,43884,252,42964,88100,88100
8627000,31000,88020,228,42880,88184,88184
8711000,1000,43916,32,42912,88152,88152
8770000,0,43700,212,43124,87940,87940
8822000,31000,88164,188,42840,88224,88224
8906000,0,43824,248,43088,87976,87976
8957000,32000,88096,172,42824,88240,88240
9040000,0,43800,260,43084,87980,87980
9093000,31000,88100,264,42916,88148,88148
9176000,0,43944,44,42960,88104,88104
9228000,1000,43740,160,43120,87944,87944
9280000,31000,88216,156,42808,88256,88256
9362000,1000,43924,120,42928,88136,88136
9414000,32000,88304,72,42724,88340,88340
9499000,31000,88268,144,42796,88268,88268
9583000,0,43872,92,42888,88176,88176
9635000,32000,88348,52,42704,88360,88360
