t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
370000,216000,15220,17440,17440,113624,113624
891000,32000,24544,8184,25624,105440,105440
1227000,30000,24456,8256,33880,97184,97184
1547000,26000,24596,8080,41960,89104,89104
1883000,21000,24392,8376,50336,80728,80728
2228000,16000,24444,8256,58592,72472,72472
2539000,20000,24856,7904,66496,64568,64568
2864000,40000,113216,8388,17644,113420,113420
3422000,62000,48356,8184,25828,105236,105236
3997000,30000,113888,7904,17160,113904,113904
4560000,49000,48696,8152,25312,105752,105752
5165000,30000,113632,8096,17352,113712,113712
5717000,40000,48564,8256,25608,105456,105456
6273000,29000,113440,8344,17600,113464,113464
6848000,39000,48240,8344,25944,105120,105120
7433000,31000,113684,7948,17204,113860,113860
8064000,23000,48732,8080,25284,105780,105780
8610000,31000,113412,8184,17440,113624,113624
9191000,24000,48516,8256,25696,105368,105368
9730000,31000,113408,8344,17600,113464,113464
10269000,24000,48240,8344,25944,105120,105120
10811000,31000,113684,7948,17204,113860,113860
11361000,24000,48732,8080,25284,105780,105780
11904000,30000,113412,8184,17440,113624,113624
12454000,22000,48516,8256,25696,105368,105368
13026000,31000,113408,8344,17600,113464,113464
13592000,25000,48240,8344,25944,105120,105120
14156000,30000,113684,7948,17204,113860,113860
14723000,30000,48732,8080,25284,105780,105780
15311000,32000,113412,8184,17440,113624,113624
15888000,24000,48516,8256,25696,105368,105368
16435000,31000,113408,8344,17600,113464,113464
16979000,35000,48240,8344,25944,105120,105120
17569000,30000,113684,7948,17204,113860,113860
18118000,39000,48732,8080,25284,105780,105780
18679000,34000,113412,8184,17440,113624,113624
19254000,25000,48516,8256,25696,105368,105368
