t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
101000,9000,28004,1292,4652,28004,28004
157000,7000,28088,1196,4556,28088,28088
211000,7000,27832,1380,4740,27832,27832
265000,7000,28108,1288,4648,28108,28108
317000,6000,27816,1400,4760,27816,27816
371000,6000,28088,1284,4644,28088,28088
425000,6000,28064,1152,4512,28064,28064
478000,7000,28052,1236,4596,28052,28052
530000,6000,27944,1380,4740,27944,27944
583000,7000,28044,1284,4644,28044,28044
637000,7000,28084,1276,4636,28084,28084
691000,6000,28136,1156,4516,28136,28136
743000,6000,27844,1388,4748,27844,27844
796000,6000,28168,1228,4588,28168,28168
849000,6000,27956,1344,4704,27956,27956
902000,7000,28000,1280,4640,28000,28000
955000,7000,28096,1260,4620,28096,28096
1009000,6000,27996,1268,4628,27996,27996
1062000,7000,28040,1324,4684,28040,28040
1115000,6000,27988,1280,4640,27988,27988
1167000,6000,28068,1264,4624,28068,28068
1220000,7000,27860,1408,4768,27860,27860
1274000,6000,28032,1136,4496,28032,28032
1327000,6000,28068,1240,4600,28068,28068
1379000,6000,27984,1404,4764,27984,27984
1433000,7000,28020,1264,4624,28020,28020
1487000,7000,28108,1256,4616,28108,28108
1541000,6000,28184,1200,4560,28184,28184
1594000,6000,27936,1408,4768,27936,27936
1648000,6000,27832,1416,4776,27832,27832
1701000,6000,28012,1184,4544,28012,28012
1754000,6000,28132,1124,4484,28132,28132
1807000,7000,28096,1268,4628,28096,28096
1864000,6000,28008,1320,4680,28008,28008
1916000,6000,27956,1328,4688,27956,27956
1969000,6000,28056,1264,4624,28056,28056
2029000,6000,27988,1284,4644,27988,27988
2086000,6000,28120,1192,4552,28120,28120
2139000,6000,28136,1128,4488,28136,28136
2191000,7000,27908,1348,4708,27908,27908
2243000,6000,28048,1272,4632,28048,28048
2296000,7000,28024,1212,4572,28024,28024
2350000,6000,28240,1092,4452,28240,28240
2403000,7000,28164,1188,4548,28164,28164
2460000,6000,28080,1216,4576,28080,28080
2513000,6000,28088,1212,4572,28088,28088
2566000,6000,28240,1092,4452,28240,28240
2619000,6000,28164,1188,4548,28164,28164
2672000,6000,28080,1216,4576,28080,28080
2725000,7000,28088,1212,4572,28088,28088
2778000,6000,28240,1092,4452,28240,28240
