t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
1441000,17000,58520,1428,6852,58520,58520
2821000,14000,58596,1424,6848,58596,58596
4094000,13000,58740,1312,6736,58740,58740
5372000,13000,58744,1356,6780,58744,58744
6644000,12000,58640,1460,6884,58640,58640
7914000,13000,58468,1532,6956,58468,58468
9257000,15000,58520,1452,6876,58520,58520
10617000,13000,58540,1516,6940,58540,58540
11972000,13000,58612,1404,6828,58612,58612
13314000,14000,58552,1412,6836,58552,58552
14581000,12000,58632,1344,6768,58632,58632
15850000,12000,58484,1496,6920,58484,58484
17133000,12000,58620,1304,6728,58620,58620
18402000,12000,58624,1304,6728,58624,58624
19735000,13000,58500,1440,6864,58500,58500
21146000,13000,58668,1372,6796,58668,58668
22530000,13000,58556,1524,6948,58556,58556
23855000,13000,58552,1508,6932,58552,58552
25210000,14000,58664,1360,6784,58664,58664
26572000,13000,58452,1452,6876,58452,58452
27933000,14000,58712,1392,6816,58712,58712
29296000,13000,58532,1328,6752,58532,58532
30660000,13000,58388,1544,6968,58388,58388
32024000,13000,58720,1384,6808,58720,58720
33376000,12000,58760,1280,6704,58760,58760
34713000,14000,58584,1304,6728,58584,58584
36135000,14000,58732,1372,6796,58732,58732
37550000,13000,58612,1400,6824,58612,58612
38827000,13000,58644,1456,6880,58644,58644
40093000,13000,58556,1412,6836,58556,58556
41360000,13000,58660,1400,6824,58660,58660
42640000,13000,58672,1360,6784,58672,58672
43943000,12000,58480,1520,6944,58480,58480
45265000,13000,58624,1416,6840,58624,58624
46692000,14000,58424,1512,6936,58424,58424
48015000,13000,58520,1544,6968,58520,58520
49333000,13000,58520,1528,6952,58520,58520
50652000,14000,58552,1428,6852,58552,58552
51979000,13000,58504,1544,6968,58504,58504
53307000,14000,58696,1392,6816,58696,58696
54645000,13000,58588,1432,6856,58588,58588
55998000,22000,58608,1360,6784,58608,58608
57457000,12000,58636,1436,6860,58636,58636
58816000,13000,58468,1420,6844,58468,58468
60089000,12000,58496,1500,6924,58496,58496
61403000,13000,58716,1376,6800,58716,58716
62710000,12000,58552,1412,6836,58552,58552
64022000,13000,58640,1408,6832,58640,58640
65325000,12000,58600,1424,6848,58600,58600
66721000,16000,58336,1516,6940,58336,58336
68119000,13000,58472,1424,6848,58472,58472
69388000,12000,58336,1516,6940,58336,58336
70678000,12000,58472,1424,6848,58472,58472
71944000,13000,58336,1516,6940,58336,58336
73211000,13000,58472,1424,6848,58472,58472
74485000,13000,58336,1516,6940,58336,58336
75748000,12000,58472,1424,6848,58472,58472
77122000,16000,58336,1516,6940,58336,58336
78503000,14000,58472,1424,6848,58472,58472
79834000,13000,58336,1516,6940,58336,58336
81172000,13000,58472,1424,6848,58472,58472
82524000,17000,58336,1516,6940,58336,58336
83838000,12000,58472,1424,6848,58472,58472
85159000,13000,58336,1516,6940,58336,58336
86601000,13000,58472,1424,6848,58472,58472
87957000,13000,58336,1516,6940,58336,58336
89270000,12000,58472,1424,6848,58472,58472
90618000,13000,58336,1516,6940,58336,58336
91919000,12000,58472,1424,6848,58472,58472
93221000,13000,58336,1516,6940,58336,58336
94662000,16000,58472,1424,6848,58472,58472
96136000,17000,58336,1516,6940,58336,58336
97431000,12000,58472,1424,6848,58472,58472
98731000,13000,58336,1516,6940,58336,58336
100038000,12000,58472,1424,6848,58472,58472
101337000,13000,58336,1516,6940,58336,58336
102634000,12000,58472,1424,6848,58472,58472
103934000,13000,58336,1516,6940,58336,58336
105233000,12000,58472,1424,6848,58472,58472
106631000,14000,58336,1516,6940,58336,58336
108132000,13000,58472,1424,6848,58472,58472
109433000,13000,58336,1516,6940,58336,58336
110780000,13000,58472,1424,6848,58472,58472
112096000,13000,58336,1516,6940,58336,58336
113403000,13000,58472,1424,6848,58472,58472
114719000,13000,58336,1516,6940,58336,58336
116036000,12000,58472,1424,6848,58472,58472
117432000,14000,58336,1516,6940,58336,58336
118702000,12000,58472,1424,6848,58472,58472
119968000,13000,58336,1516,6940,58336,58336
121262000,16000,58472,1424,6848,58472,58472
122569000,13000,58336,1516,6940,58336,58336
123880000,12000,58472,1424,6848,58472,58472
125194000,13000,58336,1516,6940,58336,58336
126541000,14000,58472,1424,6848,58472,58472
127944000,14000,58336,1516,6940,58336,58336
129221000,12000,58472,1424,6848,58472,58472
130520000,13000,58336,1516,6940,58336,58336
131817000,13000,58472,1424,6848,58472,58472
133119000,13000,58336,1516,6940,58336,58336
134416000,12000,58472,1424,6848,58472,58472
135719000,13000,58336,1516,6940,58336,58336
137090000,21000,58472,1424,6848,58472,58472
138374000,14000,58336,1516,6940,58336,58336
139637000,12000,58472,1424,6848,58472,58472
140927000,13000,58336,1516,6940,58336,58336
142240000,15000,58472,1424,6848,58472,58472
143572000,13000,58336,1516,6940,58336,58336
144884000,13000,58472,1424,6848,58472,58472
146313000,37000,58336,1516,6940,58336,58336
147656000,12000,58472,1424,6848,58472,58472
148920000,13000,58336,1516,6940,58336,58336
150181000,12000,58472,1424,6848,58472,58472
151445000,13000,58336,1516,6940,58336,58336
152708000,12000,58472,1424,6848,58472,58472
153973000,12000,58336,1516,6940,58336,58336
155262000,12000,58472,1424,6848,58472,58472
156652000,14000,58336,1516,6940,58336,58336
158012000,13000,58472,1424,6848,58472,58472
159375000,14000,58336,1516,6940,58336,58336
160772000,13000,58472,1424,6848,58472,58472
162196000,14000,58336,1516,6940,58336,58336
163607000,15000,58472,1424,6848,58472,58472
165056000,14000,58336,1516,6940,58336,58336
166339000,12000,58472,1424,6848,58472,58472
167715000,14000,58336,1516,6940,58336,58336
169034000,13000,58472,1424,6848,58472,58472
170366000,13000,58336,1516,6940,58336,58336
171685000,13000,58472,1424,6848,58472,58472
173006000,13000,58336,1516,6940,58336,58336
