t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
656000,105000,482044,160,42232,482044,482044
1277000,100000,481948,80,42152,481948,481948
1907000,102000,482060,136,42208,482060,482060
2541000,103000,482068,68,42140,482068,482068
3177000,102000,482048,120,42192,482048,482048
3810000,102000,481944,260,42332,481944,481944
4443000,103000,481988,156,42228,481988,481988
5093000,107000,481752,252,42324,481752,481752
5731000,103000,482156,32,42104,482156,482156
6367000,106000,481880,244,42316,481880,481880
7019000,108000,481944,208,42280,481944,481944
7721000,119000,481984,68,42140,481984,481984
8394000,111000,481964,180,42252,481964,481964
9060000,102000,482072,88,42160,482072,482072
