t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
1445000,45000,114464,7236,16492,114464,114464
2744000,41000,114408,7236,16492,114408,114408
4022000,41000,114444,7236,16492,114444,114444
5300000,40000,114408,7236,16492,114408,114408
6609000,41000,114444,7236,16492,114444,114444
7905000,40000,114408,7236,16492,114408,114408
9188000,39000,114444,7236,16492,114444,114444
10459000,40000,114408,7236,16492,114408,114408
11734000,39000,114444,7236,16492,114444,114444
13008000,39000,114408,7236,16492,114408,114408
14304000,39000,114444,7236,16492,114444,114444
15612000,39000,114408,7236,16492,114408,114408
16863000,39000,114444,7236,16492,114444,114444
18166000,41000,114408,7236,16492,114408,114408
