t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
1037000,32000,519744,0,4428,519744,490968
8973000,35000,519536,0,4512,519660,454744
16256000,33000,519340,0,4600,519572,418200
21549000,33000,519512,0,4492,519680,392988
26988000,30000,519732,0,4412,519792,357192
32005000,31000,519516,0,4568,519636,321248
35968000,30000,519700,0,4408,519796,300392
41103000,31000,519572,0,4580,519624,268756
46390000,31000,519772,0,4440,519824,253360
50909000,31000,519560,0,4616,519648,286536
55925000,37000,519572,0,4564,519700,303316
60621000,38000,519604,0,4568,519696,330640
66173000,34000,519516,0,4532,519732,365592
