t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
2949000,10000,123268,0,7764,123268,88868
6120000,9000,123072,0,7772,123260,51200
9162000,10000,123128,0,7664,123368,74588
12202000,11000,123200,0,7704,123328,74976
15251000,10000,123132,0,7752,123280,66296
18234000,9000,123192,0,7744,123288,68720
21244000,12000,123292,0,7568,123464,42436
24166000,10000,123024,0,7744,123288,72372
27230000,10000,123228,0,7776,123256,77024
30415000,10000,123316,0,7628,123404,77052
33481000,10000,123124,0,7812,123220,71356
36510000,9000,123244,0,7652,123380,51552
39586000,10000,123128,0,7632,123400,56152
42777000,10000,123184,0,7796,123236,74484
45806000,10000,123084,0,7760,123272,67232
48873000,10000,123248,0,7696,123336,62232
51923000,10000,123184,0,7768,123264,62756
54960000,11000,123200,0,7784,123248,50196
58093000,12000,123216,0,7660,123372,48324
61179000,10000,123136,0,7740,123292,69996
64375000,11000,123288,0,7700,123332,85896
67660000,9000,123152,0,7812,123220,63748
70726000,9000,123144,0,7716,123316,54944
73653000,9000,123328,0,7612,123420,46252
76628000,9000,123116,0,7628,123404,73728
79739000,9000,123228,0,7704,123328,72324
82714000,10000,122948,0,7820,123212,65268
85743000,9000,123296,0,7644,123388,69156
88776000,9000,123032,0,7804,123228,43720
91671000,9000,123040,0,7700,123332,62684
94723000,10000,123188,0,7704,123328,71312
97833000,10000,123176,0,7764,123268,67524
100883000,9000,123152,0,7680,123352,76960
104115000,9000,123152,0,7804,123228,68224
107115000,10000,123220,0,7568,123464,65940
110170000,9000,123172,0,7660,123372,62352
113252000,11000,123184,0,7736,123296,52232
116234000,9000,123260,0,7676,123356,52836
119232000,9000,123300,0,7652,123380,56768
122185000,10000,123136,0,7700,123332,73768
125239000,10000,123156,0,7776,123256,82796
128344000,11000,123040,0,7736,123296,67180
131358000,10000,123028,0,7728,123304,62656
134410000,10000,123312,0,7640,123392,56748
137360000,9000,123100,0,7812,123220,60192
140445000,11000,123304,0,7640,123392,61128
143474000,10000,122916,0,7792,123240,68500
146508000,9000,123020,0,7700,123332,73860
149684000,12000,123092,0,7728,123304,68216
152696000,12000,122932,0,7796,123236,79228
155964000,11000,123036,0,7804,123228,72576
158917000,11000,123048,0,7772,123260,59600
161828000,11000,123296,0,7628,123404,59072
164836000,10000,123108,0,7816,123216,84488
167971000,9000,123244,0,7652,123380,71092
171008000,9000,123120,0,7632,123400,67712
174125000,10000,123164,0,7788,123244,56132
177166000,10000,123076,0,7764,123268,51652
180226000,11000,123044,0,7776,123256,80040
