t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
173000,15000,25212,0,40236,25212,25212
263000,13000,24964,0,40296,25152,24800
338000,14000,25264,0,40128,25320,24688
414000,13000,25312,0,40108,25340,24624
492000,13000,25100,0,40100,25348,24348
569000,14000,25108,0,40292,25156,24080
645000,13000,25316,0,40112,25336,24040
721000,20000,25248,0,40152,25296,23924
807000,13000,25112,0,40300,25148,23660
883000,13000,25076,0,40244,25204,23360
969000,13000,24940,0,40316,25132,22924
1051000,13000,25356,0,40128,25376,25376
1131000,14000,25308,0,40168,25336,25252
1210000,13000,25052,0,40304,25200,24884
1286000,13000,25156,0,40200,25304,24624
1362000,13000,25232,0,40272,25232,24424
1439000,13000,25248,0,40148,25356,24240
1512000,13000,25324,0,40112,25392,24148
1590000,13000,25204,0,40164,25340,23920
1667000,13000,25384,0,40120,25384,23872
1742000,13000,25352,0,40152,25352,23792
1816000,13000,25232,0,40260,25244,23592
1901000,13000,25140,0,40320,25184,23300
1986000,13000,25164,0,40296,25208,23032
2059000,13000,25080,0,40304,25200,22696
2131000,13000,25096,0,40268,25236,22376
2206000,13000,25180,0,40272,25232,22124
2279000,13000,25168,0,40236,25268,21872
2354000,13000,25172,0,40292,25212,21612
2430000,14000,25268,0,40220,25284,21448
2508000,13000,25036,0,40220,25284,21064
2581000,13000,25272,0,40200,25304,20916
2655000,13000,25040,0,40308,25196,20544
2732000,13000,25232,0,40116,25388,20360
2807000,13000,25188,0,40236,25268,20116
2876000,13000,25260,0,40196,25308,19944
2951000,13000,25128,0,40316,25188,19640
3024000,14000,25160,0,40288,25216,19368
3096000,13000,25148,0,40256,25248,19084
3166000,14000,25112,0,40176,25328,18784
3239000,13000,25164,0,40172,25332,18516
3313000,14000,25136,0,40204,25300,18220
3382000,13000,25396,0,40108,25396,18184
3453000,13000,25172,0,40204,25300,17924
3552000,15000,25180,0,40240,25264,17672
3629000,15000,25192,0,40312,25192,17432
3700000,14000,25148,0,40268,25236,17148
3771000,13000,25196,0,40264,25240,16940
3844000,13000,25208,0,40272,25232,16716
3912000,14000,25228,0,40188,25316,16528
3982000,13000,25360,0,40116,25388,16456
4055000,13000,25112,0,40244,25260,16156
4126000,13000,25244,0,40244,25260,15968
4192000,13000,25184,0,40268,25236,15720
4263000,13000,25164,0,40284,25220,15452
4335000,13000,25256,0,40168,25336,15276
4404000,13000,25052,0,40304,25200,14896
4472000,13000,25156,0,40200,25304,14620
4541000,13000,25240,0,40264,25240,14428
4611000,13000,25240,0,40148,25356,14236
4677000,13000,25324,0,40112,25392,14148
4747000,13000,25196,0,40164,25340,13924
4819000,13000,25380,0,40112,25392,13872
4889000,12000,25336,0,40152,25352,13792
4955000,12000,25232,0,40260,25244,13592
5030000,13000,25136,0,40320,25184,13308
5098000,13000,25164,0,40296,25208,13040
5163000,12000,25080,0,40304,25200,12688
5228000,13000,25096,0,40268,25236,12884
5295000,13000,25188,0,40272,25232,13124
5362000,12000,25172,0,40236,25268,13420
5426000,12000,25164,0,40292,25212,13632
5493000,12000,25260,0,40224,25280,13852
5561000,12000,25048,0,40220,25284,14240
5626000,13000,25272,0,40200,25304,14420
5692000,13000,25040,0,40308,25196,14704
5759000,12000,25240,0,40116,25388,15088
5826000,13000,25192,0,40236,25268,15208
5898000,13000,25260,0,40196,25308,15408
5967000,12000,25128,0,40316,25188,15572
6034000,12000,25160,0,40288,25216,15852
6099000,12000,25140,0,40256,25248,16160
6169000,12000,25112,0,40176,25328,16560
6241000,16000,25156,0,40172,25332,16840
6315000,13000,25140,0,40204,25300,17100
6381000,12000,25228,0,40248,25256,17260
6450000,13000,25116,0,40304,25200,17520
6520000,13000,25240,0,40236,25268,17780
6588000,12000,25200,0,40236,25268,18012
6654000,12000,25120,0,40260,25244,18284
6722000,12000,25136,0,40320,25184,18500
6792000,12000,25164,0,40296,25208,18764
6858000,13000,25080,0,40304,25200,19108
6927000,12000,25096,0,40268,25236,19460
7010000,13000,25180,0,40272,25232,19680
7083000,14000,25168,0,40236,25268,19980
7155000,14000,25164,0,40292,25212,20176
7233000,14000,25264,0,40220,25284,20416
7311000,13000,25040,0,40220,25284,20808
7386000,13000,25272,0,40200,25304,20988
7461000,13000,25044,0,40308,25196,21268
7538000,13000,25232,0,40116,25388,25252
7621000,14000,25188,0,40236,25268,25008
7699000,13000,25260,0,40196,25308,24852
7780000,13000,25128,0,40316,25188,24564
7861000,13000,25160,0,40288,25216,24308
7937000,13000,25140,0,40256,25248,24016
8014000,13000,25116,0,40176,25328,23700
8091000,13000,25156,0,40172,25332,23424
8169000,13000,25136,0,40204,25300,23144
8243000,13000,25396,0,40108,25396,23108
8320000,13000,25172,0,40204,25300,22848
8398000,13000,25172,0,40240,25264,22604
8472000,13000,25028,0,40236,25268,22212
8544000,13000,25128,0,40260,25244,21908
8617000,13000,25144,0,40320,25184,21620
8690000,12000,25172,0,40296,25208,21360
8758000,12000,25080,0,40304,25200,21008
8828000,12000,25096,0,40268,25236,20672
8909000,13000,25180,0,40272,25232,20440
8980000,13000,25168,0,40236,25268,20176
9047000,12000,25172,0,40292,25212,19916
9118000,12000,25260,0,40220,25284,19756
9189000,12000,25036,0,40220,25284,19380
9257000,13000,25272,0,40200,25304,19232
9324000,12000,25040,0,40308,25196,18860
9395000,12000,25232,0,40116,25388,18660
9464000,13000,25184,0,40236,25268,18428
9529000,13000,25260,0,40196,25308,18272
9600000,13000,25132,0,40316,25188,17972
9670000,12000,25168,0,40288,25216,17708
9744000,13000,25148,0,40256,25248,17424
9811000,12000,25112,0,40176,25328,17120
9878000,12000,25156,0,40172,25332,16844
9956000,12000,25136,0,40204,25300,16548
10028000,12000,25220,0,40248,25256,16356
10094000,13000,25120,0,40304,25200,16044
10162000,13000,25240,0,40236,25268,15852
10228000,12000,25200,0,40236,25268,15620
10292000,12000,25120,0,40260,25244,15328
10358000,13000,25136,0,40320,25184,15032
10426000,13000,25172,0,40296,25208,14772
10491000,13000,25080,0,40304,25200,14420
10556000,12000,25096,0,40268,25236,14084
10623000,12000,25184,0,40272,25232,13836
10689000,13000,25168,0,40236,25268,13572
10753000,12000,25164,0,40292,25212,13316
10819000,12000,25260,0,40220,25284,13144
10887000,13000,25040,0,40220,25284,12752
10952000,13000,25272,0,40200,25304,12692
11023000,14000,25040,0,40308,25196,12976
11095000,14000,25232,0,40116,25388,13340
11168000,14000,25184,0,40236,25268,13468
11234000,13000,25264,0,40196,25308,13676
11309000,13000,25128,0,40316,25188,13848
11381000,14000,25160,0,40288,25216,14148
11451000,13000,25140,0,40256,25248,14456
11521000,14000,25112,0,40176,25328,14856
11591000,14000,25156,0,40172,25332,15124
11664000,13000,25136,0,40204,25300,15388
11728000,12000,25220,0,40248,25256,15544
11795000,12000,25116,0,40304,25200,15804
11863000,12000,25240,0,40236,25268,16036
11929000,12000,25192,0,40236,25268,16264
11993000,13000,25120,0,40260,25244,16532
12060000,13000,25140,0,40320,25184,16764
12129000,12000,25168,0,40296,25208,17052
12193000,13000,25080,0,40304,25200,17396
12260000,13000,25096,0,40268,25236,17744
12329000,12000,25188,0,40272,25232,17984
12396000,13000,25176,0,40236,25268,18276
12462000,12000,25164,0,40292,25212,18472
12531000,12000,25260,0,40220,25284,18704
12600000,12000,25040,0,40220,25284,19096
12667000,12000,25272,0,40200,25304,19276
12735000,12000,25044,0,40308,25196,19556
12804000,13000,25232,0,40116,25388,19920
12873000,13000,25184,0,40236,25268,20032
12939000,13000,25264,0,40196,25308,20240
13011000,12000,25128,0,40316,25188,20424
13082000,12000,25160,0,40288,25216,20704
13149000,13000,25140,0,40256,25248,21016
13219000,12000,25112,0,40176,25328,21416
13291000,12000,25156,0,40172,25332,25168
13367000,12000,25136,0,40204,25300,24872
13439000,12000,25224,0,40248,25256,24664
13531000,14000,25116,0,40304,25200,24364
13622000,13000,25240,0,40236,25268,24172
13703000,13000,25192,0,40236,25268,23944
13780000,12000,25120,0,40260,25244,23632
13860000,12000,25136,0,40320,25184,23336
13938000,12000,25168,0,40296,25208,23072
14011000,13000,25080,0,40304,25200,22720
14085000,12000,25096,0,40268,25236,22408
14161000,12000,25180,0,40272,25232,22156
14236000,12000,25168,0,40236,25268,21912
14308000,12000,25164,0,40292,25212,21644
14382000,13000,25260,0,40220,25284,21484
14458000,13000,25184,0,40320,25184,21236
14531000,12000,25376,0,40116,25388,21180
14603000,13000,25272,0,40160,25344,21020
14678000,16000,25156,0,40216,25288,20760
14763000,14000,25364,0,40108,25396,20692
14838000,13000,25308,0,40196,25308,20568
14921000,12000,25264,0,40240,25264,20400
14995000,12000,25324,0,40104,25400,20312
15067000,12000,25228,0,40244,25260,20108
15138000,12000,25124,0,40336,25168,19800
15210000,12000,25168,0,40168,25336,19536
15283000,13000,25284,0,40188,25316,19388
15354000,13000,25340,0,40112,25392,19296
15425000,13000,25136,0,40268,25236,19000
15499000,13000,25188,0,40272,25232,18756
15571000,13000,25168,0,40236,25268,18492
15640000,13000,25168,0,40292,25212,18228
15712000,12000,25260,0,40220,25284,18056
15811000,17000,25036,0,40220,25284,17676
15882000,13000,25272,0,40200,25304,17516
15948000,12000,25040,0,40308,25196,17124
16014000,13000,25232,0,40116,25388,16924
16082000,13000,25184,0,40236,25268,16676
16157000,13000,25260,0,40196,25308,16516
16224000,12000,25128,0,40316,25188,16212
16292000,12000,25168,0,40288,25216,15948
16355000,13000,25140,0,40256,25248,15668
16419000,13000,25112,0,40176,25328,15348
16483000,13000,25156,0,40172,25332,15072
16549000,12000,25140,0,40204,25300,14780
16612000,12000,25224,0,40248,25256,14572
16677000,12000,25124,0,40304,25200,14264
16749000,13000,25240,0,40236,25268,14084
16814000,13000,25192,0,40236,25268,13864
16877000,12000,25120,0,40260,25244,13552
16941000,12000,25140,0,40320,25184,13260
17011000,14000,25172,0,40296,25208,13000
17077000,13000,25080,0,40304,25200,12664
17141000,29000,25096,0,40268,25236,12884
17223000,13000,25188,0,40272,25232,13124
17288000,13000,25172,0,40236,25268,13420
17351000,13000,25164,0,40292,25212,13632
17416000,13000,25260,0,40224,25280,13852
17482000,12000,25048,0,40220,25284,14240
17546000,12000,25272,0,40200,25304,14420
17610000,13000,25040,0,40308,25196,14704
17675000,12000,25240,0,40116,25388,15088
17741000,13000,25192,0,40236,25268,15208
17803000,13000,25260,0,40196,25308,15408
