t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
1478000,23000,15220,0,17440,15220,13888
2251000,27000,14872,0,17656,15004,4528
2861000,19000,15164,0,17340,15320,10276
3511000,19000,14804,0,17648,15012,5032
4078000,20000,15108,0,17344,15316,5364
4739000,19000,14952,0,17512,15148,5152
5326000,19000,15400,0,17312,15448,5812
5983000,20000,15180,0,17528,15232,6768
6578000,20000,14956,0,17600,15160,8144
7221000,20000,15164,0,17440,15320,6648
7800000,20000,14852,0,17632,15128,4128
8440000,19000,14968,0,17448,15312,6456
9050000,19000,14876,0,17644,15116,4492
9677000,20000,15320,0,17344,15416,6768
10324000,19000,15164,0,17512,15248,9116
10946000,21000,15460,0,17212,15548,6376
11622000,22000,15124,0,17516,15244,10680
12249000,19000,15196,0,17452,15308,5012
12905000,20000,15052,0,17456,15304,11080
13487000,19000,14928,0,17636,15124,6176
14156000,19000,15112,0,17448,15312,10996
14767000,19000,14880,0,17644,15116,5904
15372000,19000,15340,0,17336,15424,12844
16022000,18000,15156,0,17512,15248,13744
16619000,19000,15468,0,17204,15556,6080
17269000,19000,15116,0,17524,15236,10100
17863000,19000,15204,0,17444,15316,9064
18524000,20000,15044,0,17440,15320,9564
19097000,19000,14916,0,17644,15116,4700
19738000,19000,15132,0,17448,15312,5660
20347000,18000,14876,0,17644,15116,9268
20948000,18000,15336,0,17336,15424,13768
21601000,19000,14900,0,17512,15248,8568
22244000,27000,15492,0,17164,15596,7572
22950000,21000,15108,0,17516,15244,8980
23595000,23000,15228,0,17452,15308,4084
24256000,21000,15252,0,17444,15316,8936
24844000,20000,14928,0,17636,15124,4808
25495000,21000,15124,0,17472,15288,4904
26118000,20000,14908,0,17664,15096,5164
26747000,20000,15176,0,17336,15424,9732
27421000,24000,15060,0,17520,15240,13776
28074000,25000,15500,0,17164,15596,7572
28758000,23000,15124,0,17512,15248,9748
29419000,20000,15224,0,17440,15320,7328
30077000,19000,15244,0,17440,15320,9996
30653000,19000,14912,0,17644,15116,10316
31300000,19000,15136,0,17440,15320,5940
31948000,23000,14872,0,17648,15112,8636
32589000,24000,15320,0,17344,15416,7340
33253000,20000,14900,0,17516,15244,9340
33851000,20000,15492,0,17172,15588,4216
34536000,21000,15120,0,17532,15228,4092
35175000,24000,15008,0,17452,15308,6132
35869000,19000,15304,0,17352,15408,13288
36483000,19000,14876,0,17600,15160,8076
37163000,19000,15092,0,17444,15316,5452
37758000,19000,14904,0,17632,15128,6508
38409000,24000,15268,0,17344,15416,7760
39099000,19000,14932,0,17644,15116,4944
39705000,20000,15332,0,17304,15456,5512
40400000,19000,15172,0,17520,15240,6884
41000000,19000,15204,0,17444,15316,8988
41659000,20000,14912,0,17516,15244,6848
42284000,19000,15148,0,17612,15148,7708
42953000,20000,15120,0,17440,15320,6972
43539000,20000,14988,0,17640,15120,7884
44188000,19000,15216,0,17420,15340,7680
44869000,20000,14932,0,17604,15156,10724
45468000,19000,15348,0,17336,15424,10828
46135000,19000,15192,0,17512,15248,8276
46759000,20000,15188,0,17312,15448,5040
47410000,19000,15120,0,17512,15248,7292
47996000,19000,14936,0,17604,15156,8076
48638000,19000,15180,0,17448,15312,8572
49211000,20000,14840,0,17656,15104,8948
49869000,20000,15240,0,17424,15336,5896
50481000,19000,14828,0,17724,15036,6028
51093000,19000,15172,0,17340,15420,5500
51761000,20000,14912,0,17516,15244,8620
52358000,20000,15368,0,17256,15504,4632
53025000,20000,15032,0,17512,15248,11624
53609000,19000,15200,0,17440,15320,6384
54245000,19000,15268,0,17364,15396,12452
54839000,19000,14912,0,17604,15156,11452
55491000,20000,15100,0,17440,15320,5628
56082000,19000,15036,0,17648,15112,7488
56712000,20000,15256,0,17336,15424,5052
57355000,19000,15056,0,17512,15248,9984
57944000,20000,15484,0,17168,15592,7392
58602000,20000,15124,0,17520,15240,9928
59202000,20000,15008,0,17448,15312,5176
59837000,20000,15284,0,17356,15404,9708
60428000,19000,14888,0,17600,15160,13732
61177000,22000,15096,0,17440,15320,13380
61781000,20000,15052,0,17632,15128,5552
62423000,19000,15252,0,17340,15420,8284
63071000,19000,15064,0,17512,15248,10248
63665000,20000,15484,0,17164,15596,9072
64330000,20000,15128,0,17512,15248,9636
64918000,19000,15212,0,17444,15316,5168
65566000,19000,15236,0,17444,15316,9596
66139000,20000,14920,0,17640,15120,8364
66782000,20000,15120,0,17448,15312,6728
67394000,19000,14888,0,17652,15108,5856
68019000,19000,15336,0,17344,15416,9652
68671000,20000,15172,0,17512,15248,11396
69302000,20000,15496,0,17208,15552,5988
69947000,23000,15080,0,17512,15248,9996
70571000,19000,15204,0,17456,15304,6128
71246000,23000,15060,0,17440,15320,10588
71872000,22000,14916,0,17632,15128,3912
72521000,21000,15108,0,17448,15312,9856
73139000,21000,14880,0,17644,15116,4316
73743000,20000,15320,0,17352,15408,6644
74383000,20000,14908,0,17520,15240,9008
74973000,20000,15500,0,17172,15588,7572
75633000,20000,15124,0,17516,15244,5160
76221000,19000,15220,0,17452,15308,7720
76866000,19000,15260,0,17440,15320,5112
77471000,23000,15060,0,17636,15124,10376
78136000,19000,15208,0,17408,15352,7092
78781000,19000,15088,0,17600,15160,12148
79402000,20000,15212,0,17340,15420,6700
80060000,19000,15156,0,17520,15240,12372
